,Positions,Locations,Type,Categories,URL Names
0,%LABEL_DEPARTMENTS%,"Bloomington, MN",%LABEL_POSITION_TYPE_FULL_TIME%,Marketing,https://75f.breezy.hr
1,System/Network Engineer,"Philadelphia, PA",%LABEL_POSITION_TYPE_FULL_TIME%,Product Development,https://aefis.breezy.hr
2,Lab Technician,"Kitchener, ON",%LABEL_POSITION_TYPE_FULL_TIME%,Engineering,https://alchemy.breezy.hr
3,%LABEL_NO_POSITIONS%,Not Specified,Not Specified,Not Specified,https://aluna.breezy.hr
4,%LABEL_NO_POSITIONS%,Not Specified,Not Specified,Not Specified,https://apollo.breezy.hr
5,%LABEL_NO_POSITIONS%,Not Specified,Not Specified,Not Specified,https://aspireship.breezy.hr
6,"Denver, CO","Denver, CO",%LABEL_POSITION_TYPE_FULL_TIME%,Engineering,https://assignar.breezy.hr
7,%LABEL_NO_POSITIONS%,Not Specified,Not Specified,Not Specified,https://astound.breezy.hr
8,"Senior Full Stack Engineer (Elixir, Phoenix, Vue.js)","Toronto, ON",%LABEL_POSITION_TYPE_FULL_TIME%,Engineering,https://avail.breezy.hr
9,%LABEL_NO_POSITIONS%,Not Specified,Not Specified,Not Specified,https://baicells-technologies.breezy.hr
10,%LABEL_DEPARTMENTS%,"Redwood City, CA",%LABEL_POSITION_TYPE_FULL_TIME%,Software Engineering,https://bear-robotics.breezy.hr
11,Full Stack Developer,"New Yrok, NY",%LABEL_POSITION_TYPE_FULL_TIME%,Not Specified,https://bondhouse.breezy.hr
12,Functional TypeScript Engineer (Mid/Senior/Principal),"Boston, MA",%LABEL_POSITION_TYPE_FULL_TIME%,Engineering,https://bondlink.breezy.hr
13,%LABEL_NO_POSITIONS%,Not Specified,Not Specified,Not Specified,https://botkeeper.breezy.hr
14,"Burlingame, CA","Burlingame, CA",%LABEL_POSITION_TYPE_FULL_TIME%,Engineering,https://caban-systems.breezy.hr
15,%LABEL_NO_POSITIONS%,Not Specified,Not Specified,Not Specified,https://camino.breezy.hr
16,%LABEL_NO_POSITIONS%,Not Specified,Not Specified,Not Specified,https://carl.breezy.hr
17,%LABEL_NO_POSITIONS%,Not Specified,Not Specified,Not Specified,https://cimcon-lighting.breezy.hr
18,%LABEL_NO_POSITIONS%,Not Specified,Not Specified,Not Specified,https://cin7.breezy.hr
19,%LABEL_DEPARTMENTS%,"Albuquerque, NM",%LABEL_POSITION_TYPE_PART_TIME%,Studios,https://codeverse.breezy.hr
20,%LABEL_NO_POSITIONS%,Not Specified,Not Specified,Not Specified,https://coil.breezy.hr
21,%LABEL_NO_POSITIONS%,Not Specified,Not Specified,Not Specified,https://coplex.breezy.hr
22,%LABEL_NO_POSITIONS%,Not Specified,Not Specified,Not Specified,https://cora.breezy.hr
23,%LABEL_NO_POSITIONS%,Not Specified,Not Specified,Not Specified,https://cvedia.breezy.hr
24,Full Stack Developer,"Portland, ME",%LABEL_POSITION_TYPE_FULL_TIME%,Not Specified,https://defendify.breezy.hr
25,Business Development Representative,"Cambridge, MA",%LABEL_POSITION_TYPE_FULL_TIME%,Sales,https://dockwa.breezy.hr
26,"Full Stack Web Developer (Angular, NodeJS, mySQL, Google Cloud Platform)",%LABEL_POSITION_TYPE_REMOTE%,%LABEL_POSITION_TYPE_FULL_TIME%,Engineering,https://documo.breezy.hr
27,%LABEL_NO_POSITIONS%,Not Specified,Not Specified,Not Specified,https://dragon-cloud.breezy.hr
28,Paralegal/Contract Facilitator,"San Antonio, TX",%LABEL_POSITION_TYPE_FULL_TIME%,6Connex,https://dura-software.breezy.hr
29,%LABEL_DEPARTMENTS%,"Milwaukee, WI",%LABEL_POSITION_TYPE_PART_TIME%,Hospitality,https://ease.breezy.hr
30,%LABEL_DEPARTMENTS%,"Columbus, OH",%LABEL_POSITION_TYPE_FULL_TIME%,Engineering,https://efuse.breezy.hr
31,%LABEL_DEPARTMENTS%,Italy,%LABEL_POSITION_TYPE_FULL_TIME%,Engineering,https://entando.breezy.hr
32,%LABEL_DEPARTMENTS%,"Annapolis, MD",%LABEL_POSITION_TYPE_FULL_TIME%,DevOps,https://expression-networks.breezy.hr
33,Full-Stack .NET App Developer,"Phoenix, AZ",%LABEL_POSITION_TYPE_FULL_TIME%,Not Specified,https://feedme.breezy.hr
34,React User Interface Developer,"Toronto, ON",%LABEL_POSITION_TYPE_FULL_TIME%,Engineering,https://fintros.breezy.hr
35,%LABEL_DEPARTMENTS%,"Chicago, IL",%LABEL_POSITION_TYPE_FULL_TIME%,Carrier Relations,https://forager.breezy.hr
