,Positions,Locations,Categories
0,Module Lead - Java,Noida,DJ Maria (CEM) – Cadent
1,Senior Software Engineer - Java,Noida,DJ Maria (CEM) – Cadent
2,Product Manager,Noida,General India – Noida
3,SE2 / Senior Software Engineer - React-Native,Noida,General India – Noida
4,Senior Quality Assurance Engineer - .Net Automation,Noida,General India – Noida
5,Senior Software Engineer - DevOps,Noida,General India – Noida
6,Software Engineer II/ Senior Software Engineer- Java,Noida,General India – Noida
7,Software Engineer II/ Senior Software Engineer- Python,Noida,General India – Noida
8,Software Engineer II/Senior Software Engineer - Java/React.js,Noida,General India – Noida
9,Software Engineer II/Senior Software Engineer- React.Js,Noida,General India – Noida
10,Technical Lead - Java,Noida,General India – Noida
11,Architect,Cluj Napoca,General Romania – Cluj
12,JAVA Technical Lead,Cluj Napoca,General Romania – Cluj
13,Senior Java Developer,Cluj Napoca,General Romania – Cluj
14,Senior UX Designer,Cluj Napoca,General Romania – Cluj
15,Senior Windows Developer,Cluj Napoca,General Romania – Cluj
16,Architect,Iași,General Romania – Iasi
17,Java Technical Lead,Iași,General Romania – Iasi
18,Senior Java Developer,Iași,General Romania – Iasi
19,Senior Python Developer,Iași,General Romania – Iasi
20,Senior UX Designer,Iași,General Romania – Iasi
21,Senior Windows Developer,Iași,General Romania – Iasi
22,Senior UX Designer - Contractor,"Remote, Romania",General Romania – Remote
23,Senior Windows Developer - Contractor,"Remote, Romania",General Romania – Remote
24,Architect,Timisoara,General Romania – Timisoara
25,Java Technical Lead,Timisoara,General Romania – Timisoara
26,Senior Java Developer,Timisoara,General Romania – Timisoara
27,Senior UX Designer,Timisoara,General Romania – Timisoara
28,Senior Windows Developer,Timisoara,General Romania – Timisoara
29,Manager of Financial Planning & Analysis,Fairfax,General U.S. – Fairfax
30,"Principal Client Partner, Information Services",New York,General U.S. – Fairfax
31,"Principal Client Partner, Technology",Fairfax,General U.S. – Fairfax
32,Product Manager,Fairfax,General U.S. – Fairfax
33,"Senior Client Partner, Information Services",New York,General U.S. – Fairfax
34,"Senior Client Partner, Technology",Boston,General U.S. – Fairfax
35,Senior UX Designer,Fairfax,General U.S. – Fairfax
36,Solutions Architect,Fairfax,General U.S. – Fairfax
37,Solutions Product Consultant,Fairfax,General U.S. – Fairfax
38,Software Engineer II- Java,Noida,Centene
