,Positions,Locations,Categories
0,"Application Developer, Center of Excellence","Pune, India",Center of Excellence
1,"Application Developer, Data Modeling","Pune, India",Customer Engagement
2,Engagement Principal - Amsterdam,"Amsterdam, Netherlands",Customer Engagement
3,Engagement Principal - Atlanta,"Atlanta, GA, USA",Customer Engagement
4,Engagement Principal - Boston,"Boston, MA, USA",Customer Engagement
5,Engagement Principal - Chicago,"Chicago, IL, USA",Customer Engagement
6,Engagement Principal - Germany,Darmstadt Germany,Customer Engagement
7,Engagement Principal - Minnesota,"Minnesota, MN, USA",Customer Engagement
8,Engagement Principal - NYC,"New York City, NY, USA",Customer Engagement
9,Engagement Principal - Switzerland,"Lausanne, Switzerland",Customer Engagement
10,Engagement Principal - UK,"London, UK",Customer Engagement
11,Skills Developer,"Bucharest, Romania",Customer Engagement
12,Solution Architect,"Pune, India",Customer Engagement
13,Level 3 Technical Support Engineer,"Pune, India",Engineering
14,Machine Learning Engineer,"Pune, India",Engineering
15,"Manager, Data Science","Pune, India",Engineering
16,"Manager, Engineering","Pune, India",Engineering
17,Product Manager,"Pune, India",Engineering
18,Senior Data Scientist,"Pune, India",Engineering
19,Senior QA Engineer,"Pune, India",Engineering
20,Senior Software Engineer,"Cluj-Napoca, Romania",Engineering
21,Senior Software Engineer,"Pune, India",Engineering
22,Senior UI Developer,"Cluj-Napoca, Romania",Engineering
23,"Senior UI Developer, React","Pune, India",Engineering
24,Technical Lead - Backend,"Pune, India",Engineering
25,Technical Lead/Architect,"Mountain View, CA, USA",Engineering
26,Technical Support Engineer III,"Mountain View, CA, USA",Engineering
27,Technical Writer,"Pune, India",Engineering
28,Executive Assistant,"Mountain View, CA, USA",Facilities
29,Financial Planning Analyst,"San Francisco, CA, USA",Finance
30,"Product Manager, Data Integration","Pune, India",Product Management
31,Client Partner,"Paris, France",Sales
32,Client Partner,"San Francisco, CA, USA",Sales
33,Client Partner,"New York City, NY, USA",Sales
34,Client Partner,"Munich, Germany",Sales
35,Client Partner,"Atlanta, GA, USA",Sales
36,Client Partner,"Boston, MA, USA",Sales
37,Client Partner,"Philadelphia, PA, USA",Sales
38,Client Partner,"Seattle, Washington, USA",Sales
39,Client Partner,"London, UK",Sales
40,Client Partner,"Lausanne, Switzerland",Sales
41,Client Partner,"Houston, TX, USA",Sales
42,Sales Operations Manager,"Paris, France",Sales
43,Sales Operations Manager,"San Francisco or Mountain View, CA, USA",Sales
