,Positions,Locations,Categories
0,Support Engineer / Manager,"San Mateo, CA",Customer Success
1,Open Source Community Manager,"San Mateo, CA",Engineering
2,Software Engineer - Distributed Systems,"San Mateo, CA",Engineering
3,Software Engineer - Distributed Systems Security,"San Mateo, CA",Engineering
4,Software Engineer - Frontend,"San Mateo, CA",Engineering
5,Software Engineer - Fullstack,"San Mateo, CA",Engineering
6,Technical Product Manager,"San Mateo, CA",Product
7,Regional Sales Director - US East,New York City,Sales
8,Regional Sales Director - US West,"Bay Area, CA",Sales
9,Sales Engineer - US East,New York City,Sales
10,Sales Engineer - US West,"Bay Area, CA",Sales
