,Positions,Locations,Categories
0,Senior Deal Desk Manager,New York City,Business Operations
1,Customer Success Manager,Noida,Customer Success
2,Customer Success Manager,New York City,Customer Success
3,Email Deliverability Manager,Noida,Customer Success
4,Engineering Manager,New York City,Engineering
5,Front End Software Engineer,Noida,Engineering
6,"Principal Software Engineer, Email Pipeline",New York City,Engineering
7,"Principal Software Engineer, Personalization",New York City,Engineering
8,Senior Software Engineer,New York City,Engineering
9,Senior Software Engineer,Noida,Engineering
10,Staff Software Engineer,New York City,Engineering
11,Recruiter,Noida,People
12,"Scrum Master, R&D",New York City,Product
13,Account Executive,New York City,Sales
14,Account Executive - West Coast,Remote,Sales
15,Account Manager,Remote,Sales
