,Positions,Locations,Categories
0,Automation Service Engineer - EMEA Region,"Zalaegerszeg, Hungary",Field Operations
1,Automation Software Engineer,"San Luis Rio Colorado, Mexico",Field Operations
2,Automation Software Engineer,"Guadalajara Area, Mexico",Field Operations
3,Business Operations Analyst (Temporary Position),"Yakum, Israel",Field Operations
4,Controls Engineer,"Yakum, Israel",Field Operations
5,Controls Engineering Team Leader,"Yakum, Israel",Field Operations
6,Technical Project Manager,"Austin, Texas",Field Operations
7,Senior Accountant,"Suzhou, China",Finance
8,Head of Demand Generation,"San Francisco, California",Marketing
9,"Head of Sales, North America","San Francisco, California",Sales
10,Sales Operations Analyst,"San Francisco, California",Sales
11,Control Engineer,"Yakum, Israel",Software Engineering
12,DevOps Engineer,"Gdansk, Poland",Software Engineering
13,DevOps Engineer,"Yakum, Israel",Software Engineering
14,Principal Full Stack Engineer,"Seattle, Washington",Software Engineering
15,Principal Software Engineer - Cloud,"Seattle, Washington",Software Engineering
16,Senior Full Stack Engineer,"Seattle, Washington",Software Engineering
17,Software Engineer,"Yakum, Israel",Software Engineering
18,Software Engineer - Cloud,"Seattle, Washington",Software Engineering
