,Positions,Locations,Categories
0,Billing & Collections Accounts Receivables Rep - BillMax Services,"Ft. Lauderdale, FL",Client Operations – CR BillMax
1,Billing Associate - BillMax Services,"Ft. Lauderdale, FL",Client Operations – CR BillMax
2,Enterprise Customer Support Specialist,"Either Ft. Lauderdale, FL or Matawan, NJ Office",Client Operations – Customer Support
3,Clinical Implementation Coordinator- Enterprise,"Pompano Beach, Florida Office",Client Operations – Implementation
4,Senior Data Scientist,"Ft. Lauderdale, FL",Product Development – Engineering
5,Software Developer,"Matawan, New Jersey Office",Product Development – Engineering
6,DevOps Engineer - Azure,"Matawan, New Jersey Office",Product Development – Engineering Ops
7,Principal DevOps Engineer - AWS,Remote,Product Development – Engineering Ops
8,Senior SQL Server/ DBA,"Matawan, New Jersey Office",Product Development – Engineering Ops
9,Agile SCRUM Project Manager,"Matawan, New Jersey Office",Product Development – Product Management
10,Business Analyst - Data Products,"Pompano Beach, Florida Office",Product Development – Product Management
11,"Business Analyst, Clinical Product","Matawan, New Jersey Office",Product Development – Product Management
12,"Business Analyst, Practice Management","Matawan, New Jersey Office",Product Development – Product Management
13,UX Architect - Mobile Solutions,"Matawan, New Jersey Office",Product Development – Product Management
14,Quality Engineer,"Matawan, New Jersey Office",Product Development – Quality Assurance
