,Positions,Locations,Categories
0,Principal Partner Solution Architect,"Remote, USA",Business Development – Business Development
1,Senior Business Development Manager - U.S. West Region,"Remote, USA",Business Development – Business Development
2,Accounts Receivable and Collections Specialist,"Bangalore, India",Finance – Accounting
3,"Legal Counsel, Commercial & Privacy","Santa Clara, California",Legal – Legal - Commercial
4,Web Developer,"Santa Clara, California",Marketing – Demand Generation
5,Principal Product Marketing Manager,"Remote, USA",Marketing – Product & Solutions Marketing
6,Technical Writer - Cloud,"Manchester, UK",Product Management – Product Management
7,Technical Writer – Developer Documentation,"Manchester, UK",Product Management – Product Management
8,Cloud Automation Engineer,"Manchester, UK",R&D – Cloud Platform
9,Cloud Operations Escalation Lead,"Manchester, UK",R&D – Cloud Platform
10,Cloud Support Engineer,"Bangalore, India",R&D – Cloud Platform
11,Cloud Support Engineer,"Manchester, UK",R&D – Cloud Platform
12,DevOps Engineer,"Manchester, UK",R&D – Cloud Platform
13,Principal Software Engineer - GO,"Manchester, UK",R&D – Cloud Platform
14,QE Engineer - Cloud Team,"Manchester, UK",R&D – Cloud Platform
15,QE Engineer - Cloud Team,"Bangalore, India",R&D – Cloud Platform
16,Senior Site Reliability Engineer - Cloud,"Bangalore, India",R&D – Cloud Platform
17,Senior Site Reliability Engineer - Cloud,"Manchester, UK",R&D – Cloud Platform
18,Senior Software Engineer - Cloud,"Manchester, UK",R&D – Cloud Platform
19,Senior Software Engineer - Cloud,"Remote, USA",R&D – Cloud Platform
20,Senior Software Engineer - Go,"Bangalore, India",R&D – Cloud Platform
21,Senior Software Engineer - Golang,"Manchester, UK",R&D – Cloud Platform
22,Software Engineer - GO,"Manchester, UK",R&D – Cloud Platform
23,Principal Software Engineer,"Bangalore, India",R&D – Core Engineering
24,Principal Software Engineer - Global Secondary Index,"Bangalore, India",R&D – Core Engineering
25,"Principal Software Engineer, GSI","Bangalore, India",R&D – Core Engineering
26,Senior Software Engineer,"Santa Clara, California",R&D – Core Engineering
27,Senior Software Engineer - Cross Data Center Replication (XDCR),"Santa Clara, California",R&D – Core Engineering
28,Senior Software Engineer - Eventing,"Bangalore, India",R&D – Core Engineering
29,Senior Software Engineer - Global Secondary Index,"Bangalore, India",R&D – Core Engineering
30,Senior Software Engineer - Global Secondary Index,"Santa Clara, California",R&D – Core Engineering
31,Senior Software Engineer - Storage,"Bangalore, India",R&D – Core Engineering
32,Senior Software Engineer - Storage,"Santa Clara, California",R&D – Core Engineering
33,"Senior Software Engineer, Eventing","Bangalore, India",R&D – Core Engineering
34,"Senior Software Engineer, FTS","Bangalore, India",R&D – Core Engineering
35,"Software Engineer, Sync Gateway (Contractor)","Manchester, UK",R&D – Core Engineering
36,Principal Quality Engineer,"Bangalore, India",R&D – Quality Engineering
37,Senior Performance Engineer,"Bangalore, India",R&D – Quality Engineering
38,Senior Software Engineer - Test,"Santa Clara, California",R&D – Quality Engineering
39,"Senior Software Engineer, Automation","Bangalore, India",R&D – Quality Engineering
40,Software Engineer - Test Automation,"Manchester, UK",R&D – Quality Engineering
41,"Software Engineer in Test, Cloud","Manchester, UK",R&D – Quality Engineering
42,Technical Support Engineer,"Santa Clara, California",R&D – Technical Support
43,Technical Support Engineer,"Manchester, UK",R&D – Technical Support
44,Technical Support Engineer,Melbourne,R&D – Technical Support
45,Enterprise Account Executive - LATAM,"Miami, Florida",Sales – Enterprise Sales
46,Enterprise Sales Representative,"Los Angeles, California",Sales – Enterprise Sales
47,Enterprise Sales Representative - North Carolina,"Raleigh, North Carolina",Sales – Enterprise Sales
48,Enterprise Sales Representative - Ohio Valley,"Nashville, Tennessee",Sales – Enterprise Sales
49,Enterprise Sales Representative - Ohio Valley,"Detroit, Michigan",Sales – Enterprise Sales
50,Enterprise Sales Representative - Ohio Valley,"Indianapolis, IN",Sales – Enterprise Sales
51,Enterprise Sales Representative - Ohio Valley,"Cincinnati, Ohio",Sales – Enterprise Sales
52,Enterprise Sales Representative - Ohio Valley,"Chicago, Illinois",Sales – Enterprise Sales
53,"Regional Sales Director, Southwest (LA/OC)","Los Angeles, California",Sales – Sales Management
54,Regional Sales Manager - North Central,"Chicago, Illinois",Sales – Sales Management
