,Positions,Locations,Categories
0,Junior Accountant,Amsterdam,Finance – Finance
1,Design Engineer,Amsterdam,Hardware – Bike + Scooter
2,Electrical Engineer,Amsterdam,Hardware – Bike + Scooter
3,Supply Chain Coordinator,Amsterdam,Hardware – Supply Chain
4,"Internship Operations, Paris",Paris,Internships – France
5,"Internship Operations, Munich",Munich,Internships – Germany
6,"Internship Operations, Rheinland",Rheinland,Internships – Germany
7,Junior Brand Designer,Amsterdam,Marketing & Communications – Central Marketing
8,"Marketing Manager, United Kingdom",London,Marketing & Communications – City Marketing
9,"Warehouse Operations Specialist, Rome",Rome,Operations – City Operations - Italy
10,"Fleet Operations Manager, London",London,Operations – City Operations - United Kingdom
11,"Fleet Operations Manager, West Midlands",West Midlands,Operations – City Operations - United Kingdom
12,"Operations Manager, London",London,Operations – City Operations - United Kingdom
13,"Operations Manager, West Midlands",West Midlands,Operations – City Operations - United Kingdom
14,"Warehouse Operations Manager, London",London,Operations – City Operations - United Kingdom
15,"Warehouse Operations Manager, West Midlands",West Midlands,Operations – City Operations - United Kingdom
16,Senior Product Designer,Amsterdam,Technology – Product
17,Senior Data Engineer,Amsterdam,Technology – Software Engineering
