,Positions,Locations,Categories
0,Senior Tech Support Engineer,Hyderabad,Customer Success
1,Technical Customer Success Manager - D634,"Remote, USA, EMEA",Customer Success
2,Engineering Manager (Hyderabad) - D642,Hyderabad,Engineering
3,Site Reliability Engineer - S627,"Santa Clara, CA",Engineering
4,Site Reliability Engineer (Hyderabad) - D645,Hyderabad,Engineering
5,Software Engineer,Hyderabad,Engineering
6,Sr Manager/Director of Cloud Infrastructure (SRE) - D625,"Santa Clara, CA",Engineering
7,Systems Software Engineer - D626,"Santa Clara, CA",Engineering
8,Systems Software Engineer (Hyderabad) - D646,Hyderabad,Engineering
9,UI Engineer - D630,"Santa Clara, CA",Engineering
10,UI Engineer (Hyderabad) - D644,Hyderabad,Engineering
11,"Director, Product (SaaS) - D648","Santa Clara, CA",Product Management
12,Solution Engineer - D629,Hyderabad,Professional Services
13,Sr. Consulting Architect- East Coast - D631,"East Coast, Remote",Professional Services
14,"Account Executives - East Coast (New York, New Jersey) - D641","New York, New Jersey",Sales
15,Data Architect / Evangelist - D638,"Santa Clara, CA",Strategy & Marketing
