,Positions,Locations,Categories
0,Senior Front End Engineer,"San Francisco, CA",Engineering – Developer Platform
1,Senior Simulation Software Engineer,"San Francisco, CA",Engineering – Developer Platform
2,"Senior Software Engineer, Developer Platform","San Francisco, CA",Engineering – Developer Platform
3,Senior Software Engineer,"San Francisco, CA",Engineering – Engineering
4,Senior Systems Engineer - Camera Sensors,"San Francisco, CA",Engineering – Hardware Platform
5,Senior Cloud Infrastructure Engineer,"San Francisco, CA",Engineering – Infrastructure
6,Senior Data Engineer,"San Francisco, CA",Engineering – Infrastructure
7,"Software Engineer, Data and Infrastructure","San Francisco, CA",Engineering – Infrastructure
8,Controls Engineering Lead,"San Francisco, CA",Engineering – Motion Planning and Controls
9,Full Stack Engineer - Perception,"San Francisco, CA",Engineering – Perception
10,Perception Estimation Engineer - Pose & Map Localization,"San Francisco, CA",Engineering – Perception
11,Senior Machine Learning Engineer,"San Francisco, CA",Engineering – Perception
12,Software Engineer,"San Francisco, CA",Engineering – Software Engineering
13,Partnership Development Lead,"San Francisco, CA",General and Admin – General and Admin
14,Vehicle Operator,Southern California,Operations – Operations
