,Positions,Locations,Categories
0,Developer Advocate,"Oakland, CA",Alliances
1,Analytics Technical Product Manager,"Oakland, CA",Business Analytics
2,Technical Success Manager,Dublin,Customer Success
3,Technical Success Manager,"Oakland, CA",Customer Success
4,Technical Success Manager,"Denver, CO",Customer Success
5,Senior Customer Support Engineer (Oakland),"Oakland, CA",Customer Support
6,Director of Design,"Oakland, CA",Design
7,"Director, Engineering Operations & Program Management","Oakland, CA",Engineering
8,Engineering Manager (Bangalore),Bengaluru,Engineering
9,Principal Software Engineer,"Oakland, CA",Engineering
10,Principal Software Engineer (Bangalore),Bengaluru,Engineering
11,"Senior Director, Service Reliability Engineering","Oakland, CA",Engineering
12,Senior Site Reliability Engineer,"Oakland, CA",Engineering
13,Senior Site Reliability Engineer,Dublin,Engineering
14,Senior Software Development Engineer in Test (SDET),"Oakland, CA",Engineering
15,Senior Software Development Engineer in Test (Senior SDET),Bengaluru,Engineering
16,Senior Software Engineer,"Oakland, CA",Engineering
17,Senior Software Engineer (Bangalore),Bengaluru,Engineering
18,Senior Staff Site Reliability Engineer,"Oakland, CA",Engineering
19,Software Development Engineer in Test (SDET),"Oakland, CA",Engineering
20,Staff Software Engineer,"Oakland, CA",Engineering
21,Staff Software Engineer (Bangalore),Bengaluru,Engineering
22,IT Help Desk Support,Dublin,IT
23,Director of Legal,"Oakland, CA",Legal
24,Head of Product Marketing,"Oakland, CA",Marketing
25,Product Marketing Manager,"Oakland, CA",Marketing
26,Product Marketing Manager,"Denver, CO",Marketing
27,Sr Director of Content Marketing,"Oakland, CA",Marketing
28,Sr Director of Content Marketing,"Denver, CO",Marketing
29,Product Analyst,"Oakland, CA",Product
30,Product Designer,"Oakland, CA",Product
31,"Product Director, Data Connectors","Oakland, CA",Product
32,"Product Manager, Ecosystem","Oakland, CA",Product
33,"Product Manager, Growth","Oakland, CA",Product
34,"Product Manager, Product & Engineering Analytics","Oakland, CA",Product
35,"Product Manager, Sales & Finance Analytics","Oakland, CA",Product
36,Senior Sales Engineer,East Coast,Sales
37,Application Security Architect,"Oakland, CA",Security Engineering
38,Senior Cloud Security Engineer,"Oakland, CA",Security Engineering
