,Positions,Locations,Categories
0,Infrastructure Software Engineer,"Palo Alto, CA",Engineering
1,Software Engineer - Features,"Palo Alto, CA",Engineering
2,Software Engineer - Networking,"Palo Alto, CA",Engineering
3,UI Engineer,"Palo Alto, CA",Engineering
4,"Director, Product Management - Cloud","Palo Alto, CA",Product Management
5,Regional Sales Director,"Palo Alto, CA",Sales
6,Regional Sales Director,North Carolina,Sales
7,Regional Sales Director,Missouri,Sales
8,Regional Sales Director,Minneapolis,Sales
9,Regional Sales Director,NYC,Sales
10,Regional Sales Director (Federal),Washington DC,Sales
11,Pre-Sales Technical Solutions Architect,"Palo Alto, CA",Sales Engineering
12,Pre-Sales Technical Solutions Architect,Boston,Sales Engineering
13,Pre-Sales Technical Solutions Architect,Los Angeles,Sales Engineering
14,Pre-Sales Technical Solutions Architect,Minneapolis,Sales Engineering
15,Pre-Sales Technical Solutions Architect,Missouri,Sales Engineering
16,Pre-Sales Technical Solutions Architect,North Carolina,Sales Engineering
17,Pre-Sales Technical Solutions Architect,Seattle,Sales Engineering
