,Positions,Locations,Categories
0,Responsabile Risorse Umane Mid-Level,Milan,ADMINISTRATION – Human Resources
1,Software Developer - Middle Level,Milan,ENGINEERING & DATA – Engineering
2,Contabile Junior,Milan,FINANCE – Finance
3,Digital Marketing Specialist,"New York, NY",MARKETING – Marketing
4,Director of Social Media Marketing,"New York, NY",MARKETING – Marketing
5,Community Engagement Associate - Sacramento,"Sacramento, CA",OPERATIONS – Central Operations
6,"Community Engagement Manager - Atlanta, GA","Atlanta, GA",OPERATIONS – Central Operations
7,Community Engagement Manager - London,London,OPERATIONS – Central Operations
8,"Community Engagement Manager - Miami, FL","Miami, FL",OPERATIONS – Central Operations
9,Community Engagement Manager - Sacramento,"Sacramento, CA",OPERATIONS – Central Operations
10,"Community Engagement Manager - Santa Monica, CA","Santa Monica, CA",OPERATIONS – Central Operations
11,"Community Engagement Manager - Seattle, WA","Seattle, WA",OPERATIONS – Central Operations
12,Community Engagement Manager - Washington DC,Washington DC,OPERATIONS – Central Operations
13,Dispatcher,Belgrade,OPERATIONS – Central Operations
14,US Operations Manager,"New York, NY",OPERATIONS – Central Operations
15,US Supply Chain Manager,"New York, NY",OPERATIONS – Central Operations
16,Customer Support Representative - Belgrade,Belgrade,OPERATIONS – Customer Support
17,"City Manager - Alexandria/Arlington, VA","Arlington, VA",OPERATIONS – Local Operations
18,"City Manager - Miami, FL","Miami, FL",OPERATIONS – Local Operations
19,City Manager - Sacramento,"Sacramento, CA",OPERATIONS – Local Operations
20,"City Manager - Santa Monica, CA","Santa Monica, CA",OPERATIONS – Local Operations
21,"City Manager - Seattle, WA","Seattle, WA",OPERATIONS – Local Operations
22,Community Engagement Associate - Washington DC,Washington DC,OPERATIONS – Local Operations
23,"E-Bike Mechanic - Atlanta, GA","Atlanta, GA",OPERATIONS – Local Operations
24,"E-Scooter Mechanic - Atlanta, GA","Atlanta, GA",OPERATIONS – Local Operations
25,Mechanic - Alexandria/Arlington,"Alexandria, VA",OPERATIONS – Local Operations
26,"Mechanic - Seattle, WA","Seattle, WA",OPERATIONS – Local Operations
27,Mechanic - Washington DC,Washington DC,OPERATIONS – Local Operations
28,Night Shift Warehouse Worker/Driver - Alexandria/Arlington,"Arlington, VA",OPERATIONS – Local Operations
29,Night Shift Warehouse Worker/Driver - Washington DC,Washington DC,OPERATIONS – Local Operations
30,On-Call Warehouse Worker/Driver - Washington DC,Washington DC,OPERATIONS – Local Operations
31,Part-Time Mechanic - Washington DC,Washington DC,OPERATIONS – Local Operations
32,Warehouse Worker/Driver - Alexandria/Arlington,"Alexandria, VA",OPERATIONS – Local Operations
33,Warehouse Worker/Driver - Atlanta,"Atlanta, GA",OPERATIONS – Local Operations
34,Warehouse Worker/Driver - Miami,"Miami, FL",OPERATIONS – Local Operations
35,Warehouse Worker/Driver - Sacramento,"Sacramento, CA",OPERATIONS – Local Operations
36,"Warehouse Worker/Driver - Seattle, WA","Seattle, WA",OPERATIONS – Local Operations
37,Warehouse Worker/Driver - Washington DC,Washington DC,OPERATIONS – Local Operations
38,Junior Sales Representative- Washington DC,Washington DC,Sales – Local Sales
39,Senior Sales Representative- Washington DC,Washington DC,Sales – Local Sales
