,Positions,Locations,Categories
0,Executive Assistant,San Diego,Business Operations
1,Customer Success Manager,San Diego,Customer Success
2,Customer Support Specialist,San Diego,Customer Support
3,Lead Infrastructure Engineer,San Diego,Engineering
4,"Senior Software Engineer, Back End",San Diego,Engineering
5,"Senior Software Engineer, Front End",San Diego,Engineering
6,"Senior Software Engineer, Full Stack",San Diego,Engineering
7,"Senior Software Engineer, macOS/iOS/iPadOS/tvOS",San Diego,Engineering
8,Digital Marketing Manager,San Diego,Marketing
9,Head of Product Design,San Diego,Product Design
10,Senior Product Designer,San Diego,Product Design
11,Channel Sales Manager,San Diego,Sales
12,Enterprise Account Executive,San Diego,Sales
13,Enterprise Sales Development Representative,San Diego,Sales
14,Inside Sales Manager,San Diego,Sales
15,Outbound Sales Manager,San Diego,Sales
16,Head of Talent & People,San Diego,Talent & People
