,Positions,Locations,Categories
0,Customer Happiness Champion ( entry level ),"Raleigh - Durham, NC",Customer Support
1,Customer Happiness Champion ( entry level ),"Pittsburgh, PA",Customer Support
2,Customer Happiness Champion ( entry level ),"Cleveland, OH",Customer Support
3,Insights Consultant - CPG & Retail,"Bentonville, AR",Customer Support
4,Brand Designer,Remote - USA,Design
5,Brand Designer,Remote - US Pacific Time Zone,Design
6,Epidemiologist,"Portland, OR",Engineering - Data
7,Senior Data Scientist,"Portland, OR",Engineering - Data
8,Quality Engineer,San Francisco,Engineering - Hardware
9,QA Engineer,"Portland, OR",Engineering - QA
10,Full Stack / Front End Software Engineer,"Portland, OR",Engineering - Software
11,IT Support Engineer,"Portland, OR",Engineering - Software
12,Executive Assistant to the CEO,Remote - USA,General & Administrative
13,Growth Marketing Manager,San Francisco,Marketing
14,Growth Marketing Manager,Remote - USA,Marketing
15,Data Journalist,Remote - USA,Product
16,Technical Product Manager,"Portland, OR",Product
17,"Director, Account Management","San Francisco, CA  or  Portland, OR",Sales
18,"Head of CPG Sales, Data and Insights",Remote - USA,Sales
19,"Inside Sales, Employer","San Francisco, CA  or  Portland, OR",Sales
20,"Inside Sales, Schools","San Francisco, CA  or  Portland, OR",Sales
