,Positions,Locations,Categories
0,Head of Admissions,Remote-US,Admissions – Admissions
1,"Program Manager, Enrollment",Remote-US,Admissions – Admissions
2,FullStack Software Engineer,Remote-US,Engineering – Engineering
3,"FullStack Software Engineer, SRM",Remote-US,Engineering – Engineering
4,"Senior Manager, Curriculum & Assessment",Remote-US,Learning – Curriculum
5,"Student Product & Design Lead, Lambda Labs (Part Time, Remote)",Remote-US,Learning – Experiential Learning
6,"Associate Instructor, Computer Science or Web",Remote-US,Learning – Instruction
7,"Associate Instructor, Data Science",Remote-US,Learning – Instruction
8,Computer Science Instructor (Part Time Contract),Remote-US,Learning – Instruction
9,"VP, Marketing",Remote-US,Marketing – Marketing
10,Legal Assistant,San Francisco Bay Area,Operations – Legal
11,"Senior Manager, Student Experience",Remote-US,School Operations – Student Operations
