,Positions,Locations,Categories
0,Accounting Manager,"Oakland, CA",Business Operations
1,Deal Desk Analyst,"Oakland, CA",Business Operations
2,Head of Product Design,"Oakland, CA",Design
3,Product Designer,"Oakland, CA",Design
4,Backend Software Engineer,"Oakland, CA",Engineering
5,Data Analyst,"Oakland, CA",Engineering
6,Frontend Software Engineer,"Oakland, CA",Engineering
7,Technical Support Engineer (London),London,Engineering
8,Business Development Manager,"Atlanta, GA",Marketing
9,Digital Marketing Manager,"Oakland, CA / Remote",Marketing
10,Developer Advocate,Remote,Platform
11,Customer Success Engineer,"Oakland, CA / Remote",Sales
12,Regional Field Account Executive - Toronto,"Toronto, Ontario",Sales
13,Solutions Engineer,"Oakland, CA",Sales
14,"Technical Program Manager - Governance, Risk, and Compliance","Oakland, CA",Security
