,Positions,Locations,Categories
0,Analog Design Engineer,"Boston, MA",Analog Design
1,Design Verification Engineer,"Boston, MA",Digital Design
2,Digital Design Engineer,"Boston, MA",Digital Design
3,Physical Design Engineer,"Boston, MA",Digital Design
4,SoC Architect,"Boston, MA",Digital Design
5,Chip Package Lead,"Boston, MA",Packaging
6,Photonic Design Engineer,"Boston, MA",Photonic Design
7,Machine Learning Compiler Engineer,"Boston, MA",Software
8,Machine Learning Scientist,"Boston, MA",Software
9,Software Engineer - Machine Learning,"Boston, MA",Software
10,Software Engineer - Systems and Platform,"Boston, MA",Software
