,Positions,Locations,Categories
0,Customer Success Manager,"Boston, MA",Customer Success
1,Backend Services Engineer,"Boston, MA",Engineering
2,Data Scientist,"Boston, MA",Engineering
3,Frontend Application Engineer,"Boston, MA",Engineering
4,Growth Engineer,"Boston, MA",Engineering
5,Senior Engineer - Mobile,"Boston, MA",Engineering
6,Site Reliability Engineer,"Boston, MA",Engineering
7,Content Marketing Manager,"Boston, MA",Marketing
8,Developer Advocate,"Boston, MA",Marketing
9,Event Marketing Manager,"Boston, MA",Marketing
10,Product Manager,"Boston, MA",Product
11,Senior Product Designer,"Boston, MA",Product
12,Account Executive,"Boston, MA",Sales
13,Account Manager,"Boston, MA",Sales
14,Sales Development Representative,"Boston, MA",Sales
15,Sales Engineer,"Boston, MA",Sales
