,Positions,Locations,Categories
0,Customer Success Manager,Sydney,APAC – Customer Success
1,"Consultant, Customer Success",New Orleans,Customer Experience – Customer Success
2,"Analyst, Project Success",Remote,Customer Experience – Project Success
3,Junior Commercial and Corporate Counsel,"New Orleans, New York, Dallas, Minneapolis",Lucid Corporate – Legal
4,Legal Coordinator,"New Orleans, New York, Dallas, Minneapolis",Lucid Corporate – Legal
5,"Director, Product Marketing",New York,Lucid Corporate – Marketing
6,"Director, Product Marketing",New Orleans,Lucid Corporate – Marketing
7,"Director, Product Marketing",Remote,Lucid Corporate – Marketing
8,Survey Programmer,Gurgaon,Operations – Customer Solutions
9,Technical Analyst,Gurgaon,Operations – Customer Solutions
10,IT Support Specialist,Gurgaon,Operations – IT & Security
11,Business Intelligence Analyst,Gurgaon,Operations – Marketplace Operations
12,Key Account Director,Remote,Sales – Account Management
13,Sales Director,Remote - US,Sales – Business Development
14,Sales Representative,Remote,Sales – Business Development
15,"Consultant, Customer Development",New Orleans,Sales – Customer Development
16,"Senior Manager, Sales Engineering",Remote,Sales – Sales Engineering
17,"VP, Sales Enablement",Remote,Sales – Training and Enablement
18,Cloud Infrastructure (DevOps) Engineer,London,Tech/Product – Engineering
19,Cloud Infrastructure (DevOps) Engineer,Remote,Tech/Product – Engineering
20,Cloud Infrastructure (DevOps) Engineer,"New Orleans, New York, Dallas, Minneapolis",Tech/Product – Engineering
21,Front-End Engineer,Remote,Tech/Product – Engineering
22,Senior AI/ML Engineer,London,Tech/Product – Engineering
23,Senior AI/ML Engineer,Prague,Tech/Product – Engineering
24,Senior Backend Engineer - Audience,Prague,Tech/Product – Engineering
25,Senior Backend Engineer - Audience,Sao Paulo,Tech/Product – Engineering
26,"Senior Engineer, Back End",Remote,Tech/Product – Engineering
27,Senior Software Engineer,London,Tech/Product – Engineering
28,Senior Software Engineer,Prague,Tech/Product – Engineering
29,Senior Software Engineer,Remote,Tech/Product – Engineering
30,Staff SDET,Remote,Tech/Product – Engineering
31,Staff SDET,New Orleans,Tech/Product – Engineering
32,Staff SDET,Dallas,Tech/Product – Engineering
33,Staff SDET,Gurgaon,Tech/Product – Engineering
34,Senior UX Writer,Remote,Tech/Product – Product
35,UX Designer,New Orleans,Tech/Product – Product
36,UX Designer,Remote,Tech/Product – Product
37,Tell Us About Yourself!,New Orleans,Tell us About Yourself!
