,Positions,Locations,Categories
0,ADAS / AD Machine Learning Expert,"Newark, CA",Autonomous Driving – Autonomous Driving
1,ADAS / AD Technical Project Manager,"Newark, CA",Autonomous Driving – Autonomous Driving
2,ADAS/AD Computing Platform Hardware Architect,"Newark, CA",Autonomous Driving – Autonomous Driving
3,ADAS/AD Computing Platform Mechanical Engineer,"Newark, CA",Autonomous Driving – Autonomous Driving
4,ADAS/Autonomous Driving Software Architect,"Newark, CA",Autonomous Driving – Autonomous Driving
5,Autonomous Driving Data Engineer,"Newark, CA",Autonomous Driving – Autonomous Driving
6,Autonomous Driving Data Pipeline Architect,"Newark, CA",Autonomous Driving – Autonomous Driving
7,Camera ISP Software Engineer,"Newark, CA",Autonomous Driving – Autonomous Driving
8,Embedded Software Engineer - ADAS / Autonomous Driving,"Newark, CA",Autonomous Driving – Autonomous Driving
9,Feature Owner – ADAS Viewing Systems,"Newark, CA",Autonomous Driving – Autonomous Driving
10,Group Manager for ADAS Sensor Hardware and Computing Platform,"Newark, CA",Autonomous Driving – Autonomous Driving
11,"Group Manager, Embedded Software Engineering (ADAS)","Newark, CA",Autonomous Driving – Autonomous Driving
12,"Group Manager, Perception Software Engineering (ADAS/AD)","Newark, CA",Autonomous Driving – Autonomous Driving
13,HMI Strategist for ADAS and Autonomous Driving,"Newark, CA",Autonomous Driving – Autonomous Driving
14,"Mapping and Localization Technical Specialist, ADAS / AD","Newark, CA",Autonomous Driving – Autonomous Driving
15,"Motion Planning and Controls Engineer, Autonomous Driving","Newark, CA",Autonomous Driving – Autonomous Driving
16,Motion Prediction / Behavior Planning Engineer,"Newark, CA",Autonomous Driving – Autonomous Driving
17,Perception Algorithm Engineer - Autonomous Driving,"Newark, CA",Autonomous Driving – Autonomous Driving
18,Senior Computing Platform S/W Engineer – ADAS/Autonomous Driving,"Newark, CA",Autonomous Driving – Autonomous Driving
19,Senior System Engineer - ADAS/AD,"Newark, CA",Autonomous Driving – Autonomous Driving
20,Simulation Software Engineer ADAS/AD,"Newark, CA",Autonomous Driving – Autonomous Driving
21,Sr. Product Owner – ADAS/AD Computing Platform HW,"Newark, CA",Autonomous Driving – Autonomous Driving
22,Validation Engineer - ADAS Parking Functions,"Newark, CA",Autonomous Driving – Autonomous Driving
23,"Validation Engineer, ADAS Highway Driving Features","Newark, CA",Autonomous Driving – Autonomous Driving
24,Senior Studio Engineer,"Newark, CA",Brand & Product Design – Automotive Design
25,Lead Brand Designer,"Newark, CA",Brand & Product Design – Brand Design
26,Automotive Paint Surfacer/Prepper (Show Car),"Newark, CA",Brand & Product Design – Fabrication Studio
27,Cabinet Maker/Mill worker,"Newark, CA",Brand & Product Design – Fabrication Studio
28,Hard Modeler,"Newark, CA",Brand & Product Design – Fabrication Studio
29,Metrologist / Quality Control Technician,"Newark, CA",Brand & Product Design – Fabrication Studio
30,"Senior Project Manager,  Fabrication Studio (Show Car)","Newark, CA",Brand & Product Design – Fabrication Studio
31,Show Car Trimmer / Trim Development (Auto Upholstery),"Newark, CA",Brand & Product Design – Fabrication Studio
32,Lead UX Researcher / Strategist,"Newark, CA",Brand & Product Design – User Experience
33,Senior UI Designer,"Newark, CA",Brand & Product Design – User Experience
34,Senior UX Designer,"Newark, CA",Brand & Product Design – User Experience
35,"Casa Grande, Arizona (All Positions)","Casa Grande, AZ",Casa Grande – Casa Grande
36,"Development Verification Engineer - Connectivity, Data Engineering","Newark, CA",Data Engineering – Data Engineering
37,Lead Cyber Security Engineer,"Newark, CA",Data Engineering – Data Engineering
38,Senior Big Data Test Engineer,"Newark, CA",Data Engineering – Data Engineering
39,Senior Business Intelligence Engineer,"Newark, CA",Data Engineering – Data Engineering
40,Senior Business Intelligence Engineer,"Newark, CA",Data Engineering – Data Engineering
41,Senior Data Engineer,"Newark, CA",Data Engineering – Data Engineering
42,Senior Data Scientist,"Newark, CA",Data Engineering – Data Engineering
43,"Senior Infrastructure Engineer, Data Platform","Newark, CA",Data Engineering – Data Engineering
44,Senior Machine Learning Engineer,"Newark, CA",Data Engineering – Data Engineering
45,Senior Software Development Engineer,"Newark, CA",Data Engineering – Data Engineering
46,"Senior Software Engineer, Telematics","Newark, CA",Data Engineering – Data Engineering
47,"Senior System Engineer, Data","Newark, CA",Data Engineering – Data Engineering
48,"Solutions Engineer, Data Engineering/Science","Newark, CA",Data Engineering – Data Engineering
49,Atlassian Administrator,"Newark, CA",Electronics & Software – Information Technology
50,IT Engineering Lead,"Newark, CA",Electronics & Software – Information Technology
51,IT Field Service Engineer,"Newark, CA",Electronics & Software – Information Technology
52,IT HelpDesk Technician,"Newark, CA",Electronics & Software – Information Technology
53,IT HelpDesk Technician,"Casa Grande, AZ",Electronics & Software – Information Technology
54,IT Infrastructure Database Administrator,"Newark, CA",Electronics & Software – Information Technology
55,IT Infrastructure Project Manager,"Casa Grande, AZ",Electronics & Software – Information Technology
56,IT Inventory & Procurement Clerk,"Newark, CA",Electronics & Software – Information Technology
57,IT Inventory Clerk,"Newark, CA",Electronics & Software – Information Technology
58,IT Manufacturing Support,"Casa Grande, AZ",Electronics & Software – Information Technology
59,IT Manufacturing Support Manager,"Casa Grande, AZ",Electronics & Software – Information Technology
60,IT Project Manager,"Newark, CA",Electronics & Software – Information Technology
61,IT Security Analyst,"Newark, CA",Electronics & Software – Information Technology
62,IT Support Manager,"Newark, CA",Electronics & Software – Information Technology
63,IT Systems Analyst,"Newark, CA",Electronics & Software – Information Technology
64,Lead  Application Integration Engineer,"Newark, CA",Electronics & Software – Information Technology
65,"Manager, IT Infrastructure Systems","Newark, CA",Electronics & Software – Information Technology
66,Network Engineer,"Newark, CA",Electronics & Software – Information Technology
67,Network Engineer,"Casa Grande, AZ",Electronics & Software – Information Technology
68,Okta Administrator,"Newark, CA",Electronics & Software – Information Technology
69,Senior IT Systems Engineer,"Newark, CA",Electronics & Software – Information Technology
70,Sr. Systems Engineer,"Newark, CA",Electronics & Software – Information Technology
71,Storage Architect,"Newark, CA",Electronics & Software – Information Technology
72,Systems Engineer,"Casa Grande, AZ",Electronics & Software – Information Technology
73,"Android Developer, Software Engineer","Newark, CA","Electronics & Software – Infotainment, Controls, and Integration"
74,Android Software Quality Assurance Engineer (Infotainment),"Newark, CA","Electronics & Software – Infotainment, Controls, and Integration"
75,Automotive Network Communication Integration Engineer,"Newark, CA","Electronics & Software – Infotainment, Controls, and Integration"
76,Automotive SW Test and Validation Engineer,"Newark, CA","Electronics & Software – Infotainment, Controls, and Integration"
77,Automotive SW Test and Validation Engineer,"Newark, CA","Electronics & Software – Infotainment, Controls, and Integration"
78,"Build infrastructure, Linux/Android/RTOS systems","Newark, CA","Electronics & Software – Infotainment, Controls, and Integration"
