,Positions,Locations,Categories
0,Performance Engineer,Prague,Engineering – Cloud Engineering
1,Quality Automation Engineer,"Buenos Aires, Argentina",Engineering – Cloud Engineering
2,Quality Automation Engineer,Prague,Engineering – Cloud Engineering
3,Quality Engineering Manager,Prague,Engineering – Cloud Engineering
4,Site Reliability Engineer,"Buenos Aires, Argentina",Engineering – Cloud Engineering
5,Software Engineering Test Infrastructure,Prague,Engineering – Cloud Engineering
6,"Research Scientist - Machine Learning, AI & NLP",Prague,Engineering – Data Science
7,"Senior Software Engineer, Backend",Prague,Engineering – Product Engineering
8,"Senior Software Engineer, Frontend","Tysons Corner, Virginia, USA",Engineering – Product Engineering
9,"Senior Software Engineer, Frontend",Prague,Engineering – Product Engineering
10,"Senior Software Engineer, Frontend (Crowdicity)","Tysons Corner, Virginia, USA",Engineering – Product Engineering
11,"Software Engineer, Backend","Buenos Aires, Argentina",Engineering – Product Engineering
12,"Software Engineer, Frontend (Crowdicity)","Tysons Corner, Virginia, USA",Engineering – Product Engineering
13,"Software Engineer, Fullstack","Buenos Aires, Argentina",Engineering – Product Engineering
14,Senior Product Security Engineer - Application Security,"Tysons Corner, Virginia, USA",Engineering – Security Engineering
15,Accounts Receivable Analyst,"Remote, United States",Finance & Accounting – Accounting
16,Marketing Strategy & Operations Director,"Remote, United States",Marketing – Marketing
17,"Regional Marketing Manager-France, Middle East and Africa","Paris, France",Marketing – Marketing
18,Website Optimization and Operations Manager,"Remote, United States",Marketing – Marketing
19,"Director of Product Marketing, Employee Experience Solution","Remote, United States",Marketing – Product Marketing
20,"Director of Product Marketing, Industries & Solutions","Remote, United States",Marketing – Product Marketing
21,Digital Customer Success Manager,"London, United Kingdom",Medallia Digital – Professional Services (Medallia Digital)
22,"Director, HR Business Partner, EMEA",Prague,People & Culture – HR Business Partners
23,"Vice President, People Operations & Technology","Pleasanton, CA, USA",People & Culture – People Operations
24,"Senior Manager, Global Mobility","Remote, United States",People & Culture – Total Rewards
25,Inside Solutions Consultant,"Munich Area, Germany",Pre-Sales – Solutions Consultants
26,Inside Solutions Consultant,"London, United Kingdom",Pre-Sales – Solutions Consultants
27,Inside Solutions Consultant,"Paris, France",Pre-Sales – Solutions Consultants
28,Inside Solutions Consultant- Singapore,Singapore,Pre-Sales – Solutions Consultants
29,Solutions Consultant,"Madrid, Spain",Pre-Sales – Solutions Consultants
30,Solutions Consultant,"Milan, Italy",Pre-Sales – Solutions Consultants
31,Solutions Consultant (Austria),"Vienna, Austria",Pre-Sales – Solutions Consultants
32,Solutions Consultant (Germany),Remote - EMEA,Pre-Sales – Solutions Consultants
33,Solutions Consultant (London),"London, United Kingdom",Pre-Sales – Solutions Consultants
34,Solutions Consultant (Munich),"Munich Area, Germany",Pre-Sales – Solutions Consultants
35,Solutions Consultant (Paris),"Paris, France",Pre-Sales – Solutions Consultants
36,Solutions Consultant (Zurich),"Zurich, Switzerland",Pre-Sales – Solutions Consultants
37,Solutions Consultant Manager,"Munich Area, Germany",Pre-Sales – Solutions Consultants
38,"Solution Principal, Retail","Remote, United States",Pre-Sales – Solutions Principals
39,Lead Product Designer,"Tysons Corner, Virginia, USA",Product – Product Design
40,Senior Product Manager,"Buenos Aires, Argentina",Product – Product Management
41,Education Delivery Manager,"San Mateo, CA, USA",Professional Services – Enablement & Education
42,"Senior Analyst, Medallia Expert Services","Washington, DC",Professional Services – Enablement & Education
43,"Analyst, Professional Services (Italian Speaker)","London, United Kingdom",Professional Services – Professional Services
