,Positions,Locations,Categories
0,Consulting Director,"Memphis, TN",Consulting Practice – Consulting Director - Product
1,UX Designer,"Ann Arbor, MI",Consulting Practice – Nexient Experience Studios
2,Scrum Master,"Atlanta, GA",Consulting Practice – Product
3,Senior Product Manager,Remote,Consulting Practice – Product
4,Senior Product Owner,"San Francisco, CA",Consulting Practice – Product
5,Senior Product Owner,"Atlanta, GA",Consulting Practice – Product
6,Senior Product Owner-Financial Systems,"New York, NY",Consulting Practice – Product
7,.Net Architect,"Ann Arbor, MI",Delivery Practice – .NET Developer
8,.Net Architect,"Columbus, OH",Delivery Practice – .NET Developer
9,".Net Developer with ETL, SQL experience","Ann Arbor, MI",Delivery Practice – .NET Developer
10,".Net Developer with ETL, SQL experience","Columbus, OH",Delivery Practice – .NET Developer
11,Android developer,"Ann Arbor, MI",Delivery Practice – Android Developer
12,Angular Developer,"Ann Arbor, MI",Delivery Practice – Angular Developer
13,Senior Angular Developer,"Ann Arbor, MI",Delivery Practice – Angular Developer
14,Senior Angular Developer,"Columbus, OH",Delivery Practice – Angular Developer
15,"Software Engineering Director (.NET, Java, or JavaScript)",United States,Delivery Practice – Delivery
16,"Software Engineering Director (.NET, Java, or JavaScript)","Ann Arbor, MI",Delivery Practice – Delivery
17,"Software Engineering Director (.NET, Java, or JavaScript)","Columbus, OH",Delivery Practice – Delivery
18,iOS Developer,"Ann Arbor, MI",Delivery Practice – iOS Developer
19,Java Developer,"Columbus, OH",Delivery Practice – Java
20,Java Developer,"Ann Arbor, MI",Delivery Practice – Java
21,Senior Java Developer,"Ann Arbor, MI",Delivery Practice – Java
22,JavaScript Developer,"Ann Arbor, MI",Delivery Practice – JavaScript
23,JavaScript Developer,"Columbus, OH",Delivery Practice – JavaScript
24,Senior JavaScript Developer,"Ann Arbor, MI",Delivery Practice – JavaScript
25,Senior JavaScript Developer,"Columbus, OH",Delivery Practice – JavaScript
26,.NET Delivery Manager,"Ann Arbor, MI",Delivery Practice – Microsoft
27,.Net Delivery Manager,"Columbus, OH",Delivery Practice – Microsoft
28,.NET Developer,"Ann Arbor, MI",Delivery Practice – Microsoft
29,.NET Developer,"Columbus, OH",Delivery Practice – Microsoft
30,".NET Developer (Ann Arbor, MI or Columbus, OH)",United States,Delivery Practice – Microsoft
31,Senior .NET Developer,"Columbus, OH",Delivery Practice – Microsoft
32,Power BI developer,"Ann Arbor, MI",Delivery Practice – Other
33,Pyspark consultant w/ GCP,"Ann Arbor, MI",Delivery Practice – Other
34,Senior SSIS developer,"Ann Arbor, MI",Delivery Practice – Other
35,Lamp Stack Developer,"Ann Arbor, MI",Delivery Practice – PHP Developer
36,Quality Engineer,"Columbus, OH",Delivery Practice – Quality Engineer
37,Senior Quality Engineer,"Columbus, OH",Delivery Practice – Quality Engineer
38,React Developer,"Ann Arbor, MI",Delivery Practice – React Developer
39,React Native Developer,"Ann Arbor, MI",Delivery Practice – React Native Developer
40,Senior .NET Developer,"Ann Arbor, MI",Delivery Practice – Senior .NET Developer
41,Quality Engineer,"Ann Arbor, MI",Delivery Practice – Senior Quality Engineer
42,Senior Quality Engineer,"Ann Arbor, MI",Delivery Practice – Senior Quality Engineer
43,Senior Quality Engineer with Mobile testing,"Ann Arbor, MI",Delivery Practice – Senior Quality Engineer
