,Positions,Locations,Categories
0,Senior Character/Vehicle TD,"Vancouver, British Columbia, Canada",Computer Graphics Content
1,Senior Environment Artist,"Vancouver, British Columbia, Canada",Computer Graphics Content
2,Procedural Engineer,"Vancouver, British Columbia, Canada",Engineering
3,Senior Computer Vision Engineer,San Francisco Bay Area,Engineering
4,Senior Software Engineer (Agents),"Vancouver, British Columbia, Canada",Engineering
5,Senior Software Engineer (Network APIs),"Vancouver, British Columbia, Canada",Engineering
6,Head of Product Marketing,San Francisco Bay Area,Sales and Marketing
7,Market Development Representative,San Francisco Bay Area,Sales and Marketing
8,Technical Customer Success Manager,San Francisco Bay Area,Sales and Marketing
9,Operations Associate,San Francisco Bay Area,Strategy & Operations
