,Positions,Locations,Categories
0,Back End Developer,"Tartu, Estonia",Engineering
1,Senior iOS Developer,"Tallinn, Estonia",Engineering
2,Account Executive - French speaking,Lisbon,Sales
3,Customer Success Manager,Lisbon,Sales
4,Customer Success Manager,"Tallinn, Estonia",Sales
5,Onboarding Expert,"Tallinn, Estonia",Sales
6,"Onboarding Expert - Saint Petersburg, FL",Florida,Sales
7,Sales Development Representative,Florida,Sales
8,Sales Development Representative,Lisbon,Sales
9,Customer Solutions Expert,Lisbon,Support
10,Customer Solutions Expert,Florida,Support
11,Customer Solutions Expert - French,Lisbon,Support
12,Customer Solutions Expert (German),Lisbon,Support
