,Positions,Locations,Categories
0,Penetration Tester,Cape Town,Cyber Security
1,Scrum Master,Cape Town,Engineering
2,Senior .Net Developer,Cape Town,Engineering
3,Senior React.JS Developer,Cape Town,Engineering
4,Senior React.JS Engineer,"Austin, TX",Engineering
5,Senior Software Development Engineer in Test (SDET),Cape Town,Engineering
6,Senior Technical Test Analyst,Cape Town,Engineering
7,Senior Technical Test Analyst,"Austin, TX",Engineering
8,Site Reliability Engineer,"Austin, TX",Engineering
9,Technical Project Manager,Cape Town,Engineering
10,Partnership & Channel Manager,"Austin, TX",Partnerships
11,Junior Technical Recruiter (6 Month Contract),Cape Town,People Operations
12,Product Manager,"Austin, TX",Product Management
13,Senior Product Manager,"Austin, TX",Product Management
14,Implementation Specialist,"Austin, TX",Program Management
15,Account Manager - Mideast,Sales,Not Specified
16,Business Development Representative,"Austin, TX",Sales
17,Regional Sales Director - North Central,"Chicago, IL",Sales
18,Regional Sales Director - South Central,"Austin, TX",Sales
