,Positions,Locations,Categories
0,Customer Enablement Manager,"San Francisco, CA",Customer – Professional Services
1,Customer Enablement Manager,"Boulder, CO",Customer – Professional Services
2,Customer Enablement Manager,Remote,Customer – Professional Services
3,Solutions Architect,"San Francisco, CA",Customer – Solutions Engineering
4,Solutions Architect,"Boulder, CO",Customer – Solutions Engineering
5,Solutions Architect,Remote,Customer – Solutions Engineering
6,Solutions Architect,"New Orleans, LA",Customer – Solutions Engineering
7,Senior Product Designer,"Boulder, CO",Design – Product Design
8,"Director, Business Intelligence","Boulder, CO",G&A – Executive
9,"Director, Business Intelligence","San Francisco, CA",G&A – Executive
10,Director of People,"San Francisco, CA",People – Human Resources
11,Director of People,"Boulder, CO",People – Human Resources
12,Director of People,"New Orleans, LA",People – Human Resources
13,Senior Account Executive,"San Francisco, CA",Sales – Account Executive
14,Sales Development Representative,"San Francisco, CA",Sales – SDR
