,Positions,Locations,Categories
0,Frontend Engineer,"San Francisco, CA",Development
1,Senior Backend Engineer,"San Francisco, CA or Remote in AZ, CO, DC, FL, MA, MI, MN, NC, NY, OR, TX, UT, or WA",Development
2,Software Engineer,"San Francisco, CA",Development
3,Applications Engineer – Platform and HPC Applications (US Person),"San Francisco, CA or Remote in AZ, CO, DC, FL, MA, MI, MN, NC, NY, OR, TX, UT, or WA",Engineering
4,HPC Engineer (US Person),"San Francisco, CA or Remote in AZ, CO, DC, FL, MA, MI, MN, NC, NY, OR, TX, UT, or WA",Engineering
5,Senior HPC Engineer (US Person),"San Francisco, CA or Remote in AZ, CO, DC, FL, MA, MI, MN, NC, NY, OR, TX, UT, or WA",Engineering
6,Support Engineer,"San Francisco, CA",Engineering
7,Campaign Marketing Manager-Enterprise,"San Francisco, CA",Marketing
8,Director of Product Marketing,"San Francisco, CA",Marketing
9,Sr. Communication Designer,"San Francisco, CA",Marketing
10,HR Generalist- Payroll,"San Francisco, CA or remote in Salt Lake City, UT, Washington DC",People Operations
11,Sr. HR Business Partner,"San Francisco, CA",People Operations
12,Lead Product Designer,"San Francisco, CA",Product
13,Amsterdam- Business Development Representative,Amsterdam,Sales
14,EMEA Enterprise Account Executive,Germany,Sales
15,Federal Civilian Agency Account Executive,US,Sales
16,North America Account Executive,US,Sales
17,"RVP, Enterprise Sales (Midwest or East)",US,Sales
18,EDA Solutions Architect,"San Francisco, CA or Remote in AZ, CO, DC, FL, MA, MI, MN, NC, NY, OR, TX, UT, or WA",Solutions Engineering
19,Federal Solutions Architect,"San Francisco, CA or Remote in AZ, CO, DC, FL, MA, MI, MN, NC, NY, OR, TX, UT, or WA",Solutions Engineering
20,Germany - Solutions Architect,Germany,Solutions Engineering
21,Sales Engineer (US Citizen),"San Francisco, CA or Remote in AZ, CO, DC, FL, MA, MI, MN, NC, NY, OR, TX, UT, or WA",Solutions Engineering
22,Solutions Architect (Japan),"Tokyo, Japan",Solutions Engineering
23,Solutions Architect (US Citizen),"San Francisco, CA or Remote in AZ, CO, DC, FL, MA, MI, MN, NC, NY, OR, TX, UT, or WA",Solutions Engineering
24,Solutions Engineer,Seoul,Solutions Engineering
25,UK - Solutions Architect,UK,Solutions Engineering
26,Japan Partner Manager,"Tokyo, Japan",Strategic Partnerships
