,Positions,Locations,Categories
0,Migration to centos/RHEL 8,"Paris, France",R&D Paris
1,Product Owner,"Paris, France",R&D Paris
2,Senior Devops Engineer,"Paris, France",R&D Paris
3,Senior Full-Stack Engineer,"Paris, France",R&D Paris
4,Software Engineer,"Paris, France",R&D Paris
5,UX Designer - Intern,"Paris, France",R&D Paris
6,Software Engineer,"San Francisco, CA",R&D San Francisco
7,Senior Sales Engineer at Scality,"London, UK",Sales EMEA
8,Enterprise Account Executive - Chicago,"Chicago, IL",Sales US
9,Enterprise Account Executive - Dallas,"Dallas, TX",Sales US
10,Enterprise Account Executive - Detroit,"Detroit, MI",Sales US
11,Enterprise Account Executive - Houston,"Houston, TX",Sales US
12,Enterprise Account Executive - Indianapolis,"Indianapolis, IN",Sales US
13,Customer Solutions Engineer,"Paris, France",Tech Services EMEA
14,Customer Solutions Engineer,"Tel Aviv, Israel",Tech Services EMEA
15,Project Manager,"Paris, France",Tech Services EMEA
