,Positions,Locations,Categories
0,"Shelf Champion (Bay Area, CA)","Bay Area, CA",Customer Success
1,"Shelf Champion (Las Vegas, NV)","Las Vegas, NV",Customer Success
2,"Shelf Champion (Los Angeles, CA)","Los Angeles, CA",Customer Success
3,"Shelf Champion (Louisville, KY)","Louisville, KY",Customer Success
4,"Shelf Champion (Minneapolis, MN)","Minneapolis, MN",Customer Success
5,Data Scientist,"Seattle, WA",Data Science
6,Fullstack Software Engineer,"Seattle, WA or Remote",Engineering
7,Sr. Software Engineer,"Seattle, WA or Remote",Engineering
8,Accountant,"Seattle, WA",Finance
9,Growth Marketing,"Seattle, WA",Marketing
10,Operations Support Specialist,Remote,Operations
