,Positions,Locations,Categories
0,Accountant,"United Kingdom, London",Backoffice – Finance
1,Staff Accountant,"United States, San Francisco CA",Backoffice – Finance
2,Senior Backend Developer (Core Backend),"Estonia, Tallinn",Engineering – Server Team
3,Operations Shift Lead,"United States, Harrisonburg VA",Operations – Operations US
4,Operations Shift Lead,"United States, Statesboro GA",Operations – Operations US
5,Operations Site Lead,"United States, Bowling Green, OH",Operations – Operations US
6,Robot Operator on Campus,"United States, Modesto, CA",Operations – Operations US
7,Robot Operator on Campus,"United States, Statesboro GA",Operations – Operations US
8,Robot Technician,"United States, Statesboro GA",Operations – Support & Deployment Team
9,Support and Deployment Technician,"United Kingdom, Milton Keynes",Operations – Support & Deployment Team
