,Positions,Locations,Categories
0,Program Manager,Program & Project Management,Not Specified
1,Account Development Representative,"Redwood City, CA",Sales
2,"Account Development Representative, UK",Europe,Sales
3,Strategic Account Manager - Boston / Cambridge Region,"Boston, Massachusetts",Sales
4,Strategic Account Manager - San Francisco Bay Area,Sales,Not Specified
5,"Strategic Account Manager, Germany",Europe (Germany),Sales
6,"Strategic Account Manager, Los Angeles/San Diego",Greater Los Angeles Area,Sales
7,"Factory Service Engineer, Generalist",Service Engineering,Not Specified
8,"Factory Service Engineer, Liquid Handling","Redwood City, CA",Service Engineering
9,Automation Engineer,"Redwood City, CA",Systems Engineering
10,"Director, Automation","Redwood City, CA",Systems Engineering
11,Process Engineer,"Redwood City, CA",Systems Engineering
