,Positions,Locations,Categories
0,Controller,"Albuquerque, NM",Corporate G&A
1,Director of Engineering,"Seattle, WA",Engineering
2,Senior Software Engineer,"Seattle, WA",Engineering
3,"Strategic Account Manager, Life Sciences",Nationwide,Life Sciences
4,"Strategic Account Manager, Life Sciences","Philadelphia, PA",Life Sciences
5,"Strategic Account Manager, Life Sciences","New York, NY",Life Sciences
6,"Strategic Account Manager, Life Sciences","Boston, MA",Life Sciences
7,Senior Marketing Manager,Nationwide,Marketing
8,Senior Marketing Manager,"Seattle, WA",Marketing
9,Senior Marketing Manager,"Boston, MA",Marketing
10,Senior Marketing Manager,"Albuquerque, NM",Marketing
