,Positions,Locations,Categories
0,Software Integration Engineer,"Bucharest, Romania",Customer Success
1,Software Integration Engineer,"Oradea, Romania",Customer Success
2,Content Marketing Manager,"New York City, NY",Marketing
3,Developer Evangelist,"New York City, NY",Marketing
4,SEO & PPC manager,"Bucharest, Romania",Marketing
5,Product Manager,"New York City, NY",Product
6,Product Manager,"Bucharest, Romania",Product
7,Data Scientist,"Oradea, Romania",R&D
8,Front-end Developer,"Oradea, Romania",R&D
9,Senior Software Developer,"Oradea, Romania",R&D
10,Software Developer,"Oradea, Romania",R&D
11,Partnerships Manager,"New York City, NY",Sales
12,VP Sales,"New York City, NY",Sales
