,Positions,Locations,Categories
0,Senior Business Analytics - Vietnam,Vietnam,CCO Office – Customer Support
1,Vice President of Artificial Intelligence (AI),Palo Alto,Core Technology – AI \ ML
2,Director - ML \ AI,Bangalore,Data Science – Data Science
3,Senior Executive - Finance,Chennai,Finance – Finance
4,Head of Corporate Development,Palo Alto,Growth – Growth and Alliances
5,"Director, Human Resources Business Partner",Palo Alto,Human Resources – Human Resources
6,Senior Engineer – Cloud Infrastructure,Chennai,Information Security \ IT Infrastructure – IT Infrastructure
7,Senior Network Engineer,Chennai,Information Security \ IT Infrastructure – IT Infrastructure
8,"Communications Manager, Analyst Relations (Palo Alto)",Palo Alto,Marketing – Marketing
9,Principal Engineer I,Chennai,Product Engineering – Product Engineering
10,Senior Software Engineer - Core Java with Spring Boot,Bangalore or Chennai,Product Engineering – Product Engineering
11,Sr Manager - Product Engineering,Bangalore or Chennai,Product Engineering – Product Engineering
12,"Director, Product Management",Palo Alto,Product Management – Product Management
13,Product Manager,Bangalore or Chennai,Product Management – Product Management
14,Product Manager - RPA,Bangalore or Chennai,Product Management – Product Management
15,Sr. Manager / Director – Product Management,Palo Alto,Product Management – Product Management
16,Customer Success Manager,Bangalore,Professional Services – Global Services and Delivery
17,Data Scientist - Delivery,Bangalore,Professional Services – Global Services and Delivery
18,Director - Global Delivery Center,Bangalore,Professional Services – Global Services and Delivery
19,Manager – Product Operations,Bangalore,Professional Services – Global Services and Delivery
20,Product Engineer \ Product Specialist - Global Support,Bangalore,Professional Services – Global Services and Delivery
21,Product Support Engineer - Global Support - Professional Services,"Dallas, Texas",Professional Services – Global Services and Delivery
22,Project Manager - Delivery,Vietnam,Professional Services – Global Services and Delivery
23,Senior Business Analyst,Bangalore,Professional Services – Global Services and Delivery
24,Senior Implementation Engineer,Bangalore,Professional Services – Global Services and Delivery
25,Senior Solution Consultant - Delivery,Bangalore,Professional Services – Global Services and Delivery
26,Solution Architect – Contact Center Solutions,Bangalore,Professional Services – Global Services and Delivery
27,Solution Consultant - Delivery,Bangalore,Professional Services – Global Services and Delivery
28,Solution Consultant - PSO,Bangalore,Professional Services – Global Services and Delivery
29,Sr. Solution Consultant - Analytics,Bangalore,Professional Services – Global Services and Delivery
30,System Architect,Bangalore,Professional Services – Global Services and Delivery
31,Technical Lead  - 4 Months Contract - Chennai,Chennai,Professional Services – Global Services and Delivery
32,Pre Sales Manager - Contact center - Japan,Tokyo,Sales – Pre-Sales
33,Director of Sales - Contact center,mumbai,Sales – Sales
34,Director of Sales - Contact center,Singapore,Sales – Sales
35,Sales Engineer,"Dallas, Texas",Sales – Sales
