,Positions,Locations,Categories
0,Sr. Software Engineer,Pune,Engineering
1,Sr. Software Engineer,Bangalore,Engineering
2,Sr. Software Engineer – Big Data,"Palo Alto, CA",Engineering
3,Sr. Software Engineer – Cloud,"Palo Alto, CA",Engineering
4,"Technical Leads, Architects & ICs – Big Data",Bangalore,Engineering
5,"Technical Leads, Architects & ICs – SQL Insights","Palo Alto, CA",Engineering
6,"Technical Leads, Architects & ICs – SQL Insights",Bangalore,Engineering
7,"Director, Product Marketing","Palo Alto, CA",Marketing
8,Account Development Representative,"Palo Alto, CA",Sales
9,Enterprise Account Executive,"San Francisco, CA",Sales
10,Big Data Solutions Engineer (pre-sales),"San Francisco, CA",Solutions Engineering and Customer Success
11,Big Data Solutions Engineer (pre-sales),London,Solutions Engineering and Customer Success
12,Big Data Solutions Engineer (pre-sales),"Chicago, IL",Solutions Engineering and Customer Success
13,Customer Success Engineer (East Coast),"New York City, NY",Solutions Engineering and Customer Success
