,Positions,Locations,Categories
0,People Partner,"San Mateo, California",Business Operations – HR
1,Cloud Security Engineer,"San Mateo, California",Cloud Security Engineering – Cloud Security Engineering
2,"Cloud Security Engineer - London, UK",Verkada UK - London,Cloud Security Engineering – Cloud Security Engineering
3,Cloud Security Intern,"San Mateo, California",Cloud Security Engineering – Cloud Security Engineering
4,Senior Lead UX Designer,"San Mateo, California",Design – Design
5,Hardware Engineer,"San Mateo, California",Engineering – Hardware
6,Hardware Engineering Program Manager,"San Mateo, California",Engineering – Hardware
7,Hardware Program Engineer,"San Mateo, California",Engineering – Hardware
8,NPI Engineer,"San Mateo, California",Engineering – Hardware
9,Senior/Lead Hardware Engineer,Verkada HQ,Engineering – Hardware
10,Product Manager,"San Mateo, California",Engineering – Product
11,Product Specialist,"San Mateo, California",Engineering – Product
12,Computer Vision Engineer -CV,"San Mateo, California",Engineering – Software - Cameras
13,"Computer Vision Engineering Intern - Fall, 2020","San Mateo, California",Engineering – Software - Cameras
14,"Embedded Systems Engineering Intern - Fall, 2020","San Mateo, California",Engineering – Software - Cameras
15,"Frontend (Web) Engineering Intern - Fall, 2020","San Mateo, California",Engineering – Software - Cameras
16,"Mobile Engineering Intern - Fall, 2020","San Mateo, California",Engineering – Software - Cameras
17,"Software Development Engineer in Test, Edge Devices","San Mateo, California",Engineering – Software - Cameras
18,"Software Engineer, Edge Devices","San Mateo, California",Engineering – Software - Cameras
19,"Software Engineer, Embedded systems","San Mateo, California",Engineering – Software - Cameras
20,"Software Engineering Manager, Edge Devices","San Mateo, California",Engineering – Software - Cameras
21,Senior Backend Engineer - New Products,"San Mateo, California",Engineering – Software - New Products
22,Senior Firmware Engineer - New Products,"San Mateo, California",Engineering – Software - New Products
23,Senior Front-end Engineer - New Products,"San Mateo, California",Engineering – Software - New Products
24,Growth Hacker,"San Mateo, California",Marketing – Marketing
25,Marketing Development Representative (Sales),"San Mateo, California",Marketing – Marketing
26,Senior Demand Generation Manager,"San Mateo, California",Marketing – Marketing
27,Channel Account Manager- CDW,Chicago,Sales – Channel
28,Enterprise Account Executive - Greater Calgary Area,"Vancouver, Canada",Sales – Enterprise
29,Enterprise Account Executive - Greater Kansas City Area,Kansas City,Sales – Enterprise
30,Enterprise Account Executive - Greater Las Vegas Area,Las Vegas,Sales – Enterprise
31,Enterprise Account Executive - Greater Los Angeles Area,"Los Angeles, California",Sales – Enterprise
32,Enterprise Account Executive - Greater Memphis Area,Memphis,Sales – Enterprise
33,Enterprise Account Executive - Greater Nashville Area,Nashville,Sales – Enterprise
34,Enterprise Account Executive - Greater Portland Area,Portland,Sales – Enterprise
35,Enterprise Account Executive - Greater South Florida Area,Florida,Sales – Enterprise
36,Enterprise Account Executive - Greater St. Louis Area,St. Louis,Sales – Enterprise
37,Enterprise Account Executive - Greater Vancouver Area,"Vancouver, Canada",Sales – Enterprise
38,"Account Executive, Mid-Market","San Mateo, California",Sales – Mid-Market
39,Sales Development Representative,"San Mateo, California",Sales – Mid-Market
40,Sales Operations Analyst/Associate,"San Mateo, California",Sales – Sales Operations
41,Salesforce Administrator,"San Mateo, California",Sales – Sales Operations
42,Enterprise Solutions Engineer - Central,Central,Sales – Solutions Engineering
43,Enterprise Solutions Engineer - Southeast,Southeast,Sales – Solutions Engineering
44,"Solutions Engineer - San Mateo, CA","San Mateo, California",Sales – Solutions Engineering
