,Positions,Locations,Categories
0,Senior Software Engineer,Mexico,AspireIQ – Senior Software Engineer
1,Business Development & Sales Operations,"Mexico, Mexico City",Auronix – Business Development
2,Product Manager,"Mexico, Mexico City",Auronix – Product
3,Customer Success Associate (Tech),"Mexico, Mexico City",Belvo – Sales
4,Sales Development Representative,"Mexico, Mexico City",Belvo – Sales
5,Front-end Engineer,"Mexico, Mexico City",Casai – Front-end Engineer
6,Software Test Engineer,Mexico,Casai – Software Test Engineer
7,Software Engineer - Backend,"Mexico, Mexico City",Creditas – Tech
8,Finance Intern,"Mexico, Mexico City",E-NAV – Finance
9,Senior Backend Developer,"Mexico, Mexico City",Fin-Tech Startup – Tech
10,Technical Lead,"Mexico, Mexico City",Fin-Tech Startup – Tech
11,Project Manager,"Mexico, Mexico City",Fintech Startup - SME Lending – Product
12,UI Designer,"Mexico, Mexico City",Fintech Startup - SME Lending – Product
13,UX Designer,"Mexico, Mexico City",Fintech Startup - SME Lending – Product
14,CEO,"Mexico, Mexico City",Fintech Startup - SME Lending – Strategy
15,Vice President (VP) of Marketing,"USA, NYC",Incode Technologies – Marketing
16,Business Analyst,"Mexico, Mexico City",Incode Technologies – Sales
17,Sales Director - Financial Industry,"USA, NYC",Incode Technologies – Sales
18,Sales Director - Healthcare Industry,"USA, NYC",Incode Technologies – Sales
19,Sales Director - Hospitality,"USA, NYC",Incode Technologies – Sales
20,Sales Director - Retail Industry,"USA, NYC",Incode Technologies – Sales
21,VP of Sales,"USA, NYC",Incode Technologies – Sales
22,Product Manager,"Mexico, Mexico City",Síclo – Product
23,Data Scientist / Data Engineer,"Mexico, Mexico City",Síclo – Tech
24,Communications and Marketing Specialist,"Mexico, Mexico City",Tiendanube – Marketing
25,Content and SEO Specialist,"Mexico, Mexico City",Tiendanube – Marketing
26,Partnerships and Integrations,"Mexico, Mexico City",Tiendanube – Sales
27,UX Design Lead,Work from anywhere,Via – Product
28,Front-end developer,Work from anywhere,Via – Tech
29,Associate Marketing Manager,"Indonesia, Bali",Waterbom Bali – Marketing
30,Strategy Consultant,"Kenya, Naoribi",Yunus Social Business – Strategy
