,Positions,Locations,Categories
0,Senior Firmware Engineer,"Stockholm, Sweden",Engineering – Sweden Engineering
1,Infrastructure Engineer,Palo Alto,Engineering – US Engineering
2,Senior Software Engineer,"Palo Alto, United States",Engineering – US Engineering
3,Senior Software Engineer (services on GCP or AWS),Palo Alto,Engineering – US Engineering
4,Senior Software Engineer (services on GCP or AWS),Bellevue,Engineering – US Engineering
5,Senior Software Engineer- SaaS Frontend,Palo Alto,Engineering – US Engineering
6,Senior Web Developer,Palo Alto,Engineering – Web Technologies
7,Corporate Counsel,Palo Alto,General & Administration – Legal
8,Senior Graphic Designer,"Palo Alto, United States",Marketing – Creative Services
9,Senior Marketing Manager,"Stockholm, Sweden",Marketing – EMEA/APJ Marketing
10,VP of Channel Sales,Remote,Sales – Sales - Americas
11,"Sales Engineer / Solutions Engineer, Japan",Tokyo,Solutions – Solutions Engineering APJ
