,Positions,Locations,Categories
0,Product Designer,"San Francisco, CA",Design
1,Product Designer,Istanbul,Design
2,"Software Engineer, Backend",Istanbul,Engineering
3,"Software Engineer, Backend","San Francisco, CA",Engineering
4,"Software Engineer, Design Integrations","San Francisco, CA",Engineering
5,"Software Engineer, Design Integrations",Istanbul,Engineering
6,"Software Engineer, Developer Experience",Istanbul,Engineering
7,"Software Engineer, Developer Experience","San Francisco, CA",Engineering
8,"Software Engineer, QA","San Francisco, CA",Engineering
9,"Software Engineer, QA",Istanbul,Engineering
10,"Sr. Software Engineer, macOS",Istanbul,Engineering
11,"Sr. Software Engineer, macOS","San Francisco, CA",Engineering
12,"Sr. Software Engineer, Web App",Istanbul,Engineering
13,Finance Manager,"San Francisco, CA",Finance
14,Content Strategist,"San Francisco, CA",Marketing
15,Sr. Product Manager,"San Francisco, CA",Product Management
16,Sr. Product Manager,Istanbul,Product Management
