,Positions,Locations,Categories
0,Client Delivery Analyst,"Brooklyn, NY",Client Delivery
1,Project Manager,"Brooklyn, NY",Client Delivery
2,Client Success Manager,"Brooklyn, NY",Client Solutions
3,Senior DevOps Engineer,"Brooklyn, NY",Infrastructure
4,Product Manager,"Brooklyn, NY",Product Management
5,Product Specialist,"Brooklyn, NY",Product Management
6,Scrum Master,"Brooklyn, NY",Product Management
7,Senior Account Executive,Remote,Sales
8,Front End Developer,"Brooklyn, NY",Software Development
9,Microsoft Dynamics Administrator,"Brooklyn, NY",Software Development
10,Python Django Developer,"Brooklyn, NY",Software Development
11,Salesforce Release Manager,"Brooklyn, NY",Software Development
12,"Technical Director, Provider Portal","Brooklyn, NY",Software Development
