,pagePath,Sessions
0,/los-angeles-tap-water/,1538
1,New Visitor,1555
2,/san-francisco-tap-water/,933
3,New Visitor,942
4,/las-vegas-tap-water/,785
5,New Visitor,786
6,/dublin-tap-water/,765
7,New Visitor,775
8,/los-angeles-tap-water/canyoudrinktapwaterin.com,640
9,New Visitor,646
10,/miami-tap-water/,634
11,New Visitor,642
12,/toronto-tap-water/,628
13,New Visitor,637
14,/kuala-lumpur-tap-water/,486
15,New Visitor,502
16,/amsterdam-tap-water/,424
17,New Visitor,435
18,/melbourne-tap-water/,408
19,New Visitor,416
20,/brussels-tap-water/,371
21,New Visitor,375
22,/washington-dc-tap-water/,344
23,New Visitor,349
24,/dubai-tap-water/,327
25,New Visitor,339
26,/paris-tap-water/,315
27,New Visitor,323
28,/cape-town-tap-water/,281
29,New Visitor,288
30,/honolulu-tap-water/,278
31,New Visitor,280
32,/new-york-tap-water/,275
33,New Visitor,302
34,/san-francisco-tap-water/canyoudrinktapwaterin.com,274
35,New Visitor,281
36,/las-vegas-tap-water/canyoudrinktapwaterin.com,257
37,New Visitor,259
38,/dublin-tap-water/canyoudrinktapwaterin.com,252
39,New Visitor,253
40,/johannesburg-tap-water/,236
41,New Visitor,246
42,/auckland-tap-water/,224
43,New Visitor,224
44,/accra-tap-water/,220
45,New Visitor,222
46,/seoul-tap-water/,218
47,New Visitor,227
48,/london-tap-water/,217
49,New Visitor,238
50,/bangkok-tap-water/,202
51,New Visitor,222
52,/berlin-tap-water/,192
53,New Visitor,201
54,/istanbul-tap-water/,187
55,New Visitor,191
56,/miami-tap-water/canyoudrinktapwaterin.com,182
57,New Visitor,183
58,/toronto-tap-water/canyoudrinktapwaterin.com,180
59,New Visitor,181
60,/kuala-lumpur-tap-water/canyoudrinktapwaterin.com,176
61,New Visitor,182
62,/sydney-tap-water/,170
63,New Visitor,179
64,/brisbane-tap-water/,167
65,New Visitor,172
66,/cairo-tap-water/,167
67,New Visitor,175
68,/mexico-city-tap-water/,167
69,New Visitor,177
70,/budapest-tap-water/,165
71,New Visitor,170
72,/taipei-tap-water/,153
73,New Visitor,158
74,/mumbai-tap-water/,152
75,New Visitor,159
76,/zurich-tap-water/,150
77,New Visitor,154
78,/,148
79,New Visitor,455
80,/copenhagen-tap-water/,142
81,New Visitor,144
82,/tap-water-safety-in-bahrain/,142
83,New Visitor,142
84,/warsaw-tap-water/,136
85,New Visitor,143
86,/melbourne-tap-water/canyoudrinktapwaterin.com,133
87,New Visitor,134
88,/vienna-tap-water/,132
89,New Visitor,138
90,/los-angeles-tap-water/,129
91,Returning Visitor,107
92,/krakow-tap-water/,128
93,New Visitor,133
94,/jakarta-tap-water/,126
95,New Visitor,134
96,/tap-water-safety-in-kuwait/,125
97,New Visitor,127
98,/milan-tap-water/,121
99,New Visitor,125
100,/bucharest-tap-water/,119
101,New Visitor,128
102,/canyoudrinktapwaterin.com,118
103,New Visitor,195
104,/quebec-city-tap-water/,112
105,New Visitor,115
106,/hong-kong-tap-water/,111
107,New Visitor,124
108,/port-moresby-tap-water/,105
109,New Visitor,106
110,/is-mammoth-lakes-tap-water-safe-to-drink/,102
111,New Visitor,102
112,/lagos-tap-water/,102
113,New Visitor,108
114,/washington-dc-tap-water/canyoudrinktapwaterin.com,102
115,New Visitor,103
116,/is-riyadh-tap-water-safe-to-drink/,101
117,New Visitor,112
118,/tokyo-tap-water/,100
119,New Visitor,107
120,/cape-town-tap-water/canyoudrinktapwaterin.com,98
121,New Visitor,102
122,/tap-water-safety-in-saudi-arabia/,98
123,New Visitor,131
124,/is-moab-tap-water-safe-to-drink/,95
125,New Visitor,95
126,/is-big-bear-city-tap-water-safe-to-drink/,91
127,New Visitor,91
128,/brussels-tap-water/canyoudrinktapwaterin.com,90
129,New Visitor,90
130,/auckland-tap-water/canyoudrinktapwaterin.com,88
131,New Visitor,88
132,/bangkok-tap-water/canyoudrinktapwaterin.com,88
133,New Visitor,93
134,/dubai-tap-water/canyoudrinktapwaterin.com,88
135,New Visitor,89
136,/seoul-tap-water/canyoudrinktapwaterin.com,88
137,New Visitor,97
138,/durban-tap-water/,86
139,New Visitor,88
140,/honolulu-tap-water/canyoudrinktapwaterin.com,85
141,New Visitor,88
142,/sydney-tap-water/canyoudrinktapwaterin.com,79
143,New Visitor,80
144,/is-hilton-head-island-tap-water-safe-to-drink/,74
145,New Visitor,74
146,/london-tap-water/canyoudrinktapwaterin.com,73
147,New Visitor,80
148,/johannesburg-tap-water/canyoudrinktapwaterin.com,71
149,New Visitor,73
150,/krakow-tap-water/canyoudrinktapwaterin.com,70
151,New Visitor,72
152,/san-francisco-tap-water/,70
153,Returning Visitor,62
154,/tap-water-safety-in-trinidad-and-tobago/,68
155,New Visitor,70
156,/mumbai-tap-water/canyoudrinktapwaterin.com,67
157,New Visitor,71
158,/prague-tap-water/,67
159,New Visitor,75
160,/las-vegas-tap-water/,66
161,Returning Visitor,62
162,/shanghai-tap-water/,66
163,New Visitor,80
164,/sao-paulo-tap-water/,65
165,New Visitor,75
166,/taipei-tap-water/canyoudrinktapwaterin.com,65
167,New Visitor,68
168,/is-nantucket-tap-water-safe-to-drink/,64
169,New Visitor,64
170,/is-flagstaff-tap-water-safe-to-drink/,63
171,New Visitor,64
172,/amsterdam-tap-water/canyoudrinktapwaterin.com,62
173,New Visitor,66
174,/athens-tap-water/,62
175,New Visitor,67
176,/is-santa-cruz-county-tap-water-safe-to-drink/,62
177,New Visitor,62
178,/quito-tap-water/,62
179,New Visitor,65
180,/nairobi-tap-water/,60
181,New Visitor,64
182,/is-south-padre-island-tap-water-safe-to-drink/,59
183,New Visitor,61
184,/sofia-tap-water/,59
185,New Visitor,63
186,/is-daejeon-tap-water-safe-to-drink/canyoudrinktapwaterin.com,58
187,New Visitor,61
188,/is-ocean-city-tap-water-safe-to-drink/,58
189,New Visitor,59
190,/,57
191,Returning Visitor,51
192,/is-west-yellowstone-tap-water-safe-to-drink/,57
193,New Visitor,57
194,/budapest-tap-water/canyoudrinktapwaterin.com,56
195,New Visitor,58
196,/casablanca-tap-water/,56
197,Returning Visitor,3
198,/canyoudrinktapwaterin.com,55
199,Returning Visitor,32
200,/dublin-tap-water/,55
201,Returning Visitor,50
202,/is-doha-tap-water-safe-to-drink/,54
203,New Visitor,66
204,/los-angeles-tap-water/canyoudrinktapwaterin.com,54
205,Returning Visitor,45
206,/miami-tap-water/,54
207,Returning Visitor,52
208,/buenos-aires-tap-water/,53
209,New Visitor,57
210,/rio-de-janeiro-tap-water/,53
211,New Visitor,60
212,/tap-water-safety-in-luxembourg/,53
213,New Visitor,56
214,/lima-tap-water/,52
215,New Visitor,53
216,/bogota-tap-water/,51
217,New Visitor,54
218,/is-liverpool-tap-water-safe-to-drink/,51
219,New Visitor,51
220,/santiago-tap-water/,51
221,New Visitor,55
222,/istanbul-tap-water/canyoudrinktapwaterin.com,50
223,New Visitor,51
224,/venice-tap-water/,50
225,New Visitor,52
226,/berlin-tap-water/canyoudrinktapwaterin.com,49
227,New Visitor,53
228,/is-montauk-tap-water-safe-to-drink/,49
229,New Visitor,49
230,/moscow-tap-water/,49
231,New Visitor,61
232,/is-bend-tap-water-safe-to-drink/,48
233,New Visitor,48
234,/new-york-tap-water/canyoudrinktapwaterin.com,48
235,New Visitor,54
236,/tap-water-safety-in-brunei/,48
237,New Visitor,48
238,/accra-tap-water/canyoudrinktapwaterin.com,47
239,New Visitor,47
240,/amman-tap-water/,47
241,New Visitor,50
242,/is-lake-arrowhead-tap-water-safe-to-drink/,47
243,New Visitor,47
244,/is-north-myrtle-beach-tap-water-safe-to-drink/,46
245,New Visitor,47
246,/macau-tap-water/,46
247,New Visitor,49
248,/singapore-tap-water/,46
249,New Visitor,74
250,/barcelona-tap-water/,45
251,New Visitor,53
252,/chiang-mai-tap-water/,45
253,New Visitor,49
254,/jakarta-tap-water/canyoudrinktapwaterin.com,45
255,New Visitor,46
256,/tap-water-safety-in-saudi-arabia/canyoudrinktapwaterin.com,45
257,New Visitor,50
258,/zurich-tap-water/canyoudrinktapwaterin.com,45
259,New Visitor,48
260,/is-davao-tap-water-safe-to-drink/,44
261,New Visitor,46
262,/is-sharjah-tap-water-safe-to-drink/,44
263,New Visitor,50
264,/tap-water-safety-in-latvia/,44
265,New Visitor,48
266,/copenhagen-tap-water/canyoudrinktapwaterin.com,43
267,New Visitor,44
268,/ho-chi-minh-tap-water/,43
269,New Visitor,48
270,/lagos-tap-water/canyoudrinktapwaterin.com,43
271,New Visitor,45
272,/mexico-city-tap-water/canyoudrinktapwaterin.com,43
273,New Visitor,45
274,/is-gurgaon-tap-water-safe-to-drink/,42
275,New Visitor,43
276,/boracay-tap-water/,41
277,New Visitor,41
278,/boracay-tap-water/canyoudrinktapwaterin.com,41
279,New Visitor,41
280,/is-lincoln-city-tap-water-safe-to-drink/,41
281,New Visitor,42
282,/is-staten-island-tap-water-safe-to-drink/,40
283,New Visitor,40
284,/paris-tap-water/canyoudrinktapwaterin.com,40
285,New Visitor,40
286,/sao-paulo-tap-water/canyoudrinktapwaterin.com,40
287,New Visitor,43
288,/tap-water-safety-in-mauritius/,40
289,New Visitor,40
290,/bucharest-tap-water/canyoudrinktapwaterin.com,39
291,New Visitor,42
292,/is-bethany-beach-tap-water-safe-to-drink/,39
293,New Visitor,40
294,/is-vallejo-tap-water-safe-to-drink/,39
295,New Visitor,40
296,/shenzhen-tap-water/,39
297,New Visitor,41
298,/tap-water-safety-in-guam/,39
299,New Visitor,43
300,/vienna-tap-water/canyoudrinktapwaterin.com,39
301,New Visitor,39
302,/is-coeur-dalene-tap-water-safe-to-drink/,38
303,New Visitor,42
304,/is-milton-keynes-tap-water-safe-to-drink/,38
305,New Visitor,38
306,/is-tallinn-tap-water-safe-to-drink/,38
307,New Visitor,44
308,/amsterdam-tap-water/,37
309,Returning Visitor,34
310,/is-al-khobar-tap-water-safe-to-drink/,37
311,New Visitor,42
312,/is-luton-tap-water-safe-to-drink/,37
313,New Visitor,39
314,/is-port-coquitlam-bc-tap-water-safe-to-drink/,37
315,New Visitor,37
316,/is-the-hague-den-haag-tap-water-safe-to-drink/,37
317,New Visitor,39
318,/brisbane-tap-water/canyoudrinktapwaterin.com,36
319,New Visitor,37
320,/is-ventura-county-tap-water-safe-to-drink/,36
321,New Visitor,38
322,/las-vegas-tap-water/canyoudrinktapwaterin.com,36
323,Returning Visitor,33
324,/is-cornwall-on-tap-water-safe-to-drink/,35
325,New Visitor,35
326,/is-navi-mumbai-tap-water-safe-to-drink/,35
327,New Visitor,42
328,/is-san-mateo-tap-water-safe-to-drink/,35
329,New Visitor,37
330,/is-santa-barbara-county-tap-water-safe-to-drink/,35
331,New Visitor,36
332,/tap-water-safety-in-sri-lanka/,35
333,New Visitor,39
334,/dhaka-tap-water/,34
335,New Visitor,39
336,/hong-kong-tap-water/canyoudrinktapwaterin.com,34
337,New Visitor,40
338,/is-cedar-city-tap-water-safe-to-drink/,34
339,New Visitor,34
340,/is-south-lake-tahoe-stateline-tap-water-safe-to-drink/,34
341,New Visitor,38
342,/is-wildwood-tap-water-safe-to-drink/,34
343,New Visitor,36
344,/tap-water-safety-in-kuwait/canyoudrinktapwaterin.com,34
345,New Visitor,34
