url,parahraph
https://www.worldtravelguide.net/guides/middle-east/yemen/health/,"Tap water is not safe to drink. Bottled water is readily available. Fresh milk is rarely available but when present it's likely to be unpasteurised. Similarly some dairy products may have been made using unpasturised milk – use common sense. Only eat well-cooked meat and fish, preferably served hot. Vegetables should be cooked and fruit peeled."
https://www.worldtravelguide.net/guides/middle-east/saudi-arabia/health/,"All water from the tap should be regarded as being potentially contaminated. Water used for drinking, brushing teeth or making ice should have first been boiled or otherwise sterilised. Bottled water is cheap and safe. Fresh milk is pasteurised but powdered or boxed milk is also available as an alternative. Avoid dairy products, which are likely to have been made from un-boiled milk. Only eat well-cooked meat and fish. Vegetables should be washed and fruit peeled."
https://www.worldtravelguide.net/guides/europe/belgium/health/,"Restaurants and cafés adhere to the highest standards of food preparation − even the famous fritkot chip stands are well maintained. The tap water is potable, but locals do prefer to buy Spa − the local bottled variety available in still and sparkling. Eating mussels is often a concern for travellers, but it’s very rare to contract food poisoning or stomach complaints after eating a pot."
https://www.worldtravelguide.net/guides/middle-east/united-arab-emirates/health/,"Though the water in the UAE will taste different, it is safe to drink. However, bottled water is so cheap to buy in the emirates that most visitors opt to drink it instead of tap water. A 500ml bottle of water costs between AED1-6, while a one-gallon bottle of water costs approximately AED12. Food standards are high in Abu Dhabi and Dubai, both of which have international cuisine and world-class restaurants. Care should be taken in smaller desert towns, where hygiene restrictions are not enforced as often. Be aware when eating meat, particularly spit cooked shawarma (kebab) meat, that has been sitting in the stifling summer sun for hours."
https://www.worldtravelguide.net/guides/asia/brunei/health/,"Food is generally safe to eat but raw or undercooked dishes should be avoided. Although tap water in most parts of the country conforms to World Health Organization standards, some embassies advise drinking only boiled or bottled water, which is cheap and widely available."
https://www.worldtravelguide.net/guides/europe/russia/health/,"In general, Russia does not pose any serious health risks when it comes to food. Use common sense and caution when deciding what might be safe to eat. Tap water is drinkable, although those with sensitive stomachs may want to stick to bottled water. Milk is pasteurised and dairy products are safe for consumption. Be wary of eating smoked fish from street vendors around Lake Baikal. Some travellers have reported cases of food poisoning."
https://www.worldtravelguide.net/guides/europe/france/health/,"This being France, the only real problems posed by the local food and drink are mild stomach complaints resulting from overindulgence. Tap water is safe to drink (although you'll find a huge amount of bottled water for sale too) and cooked food, assuming it's come from a hygienic kitchen, is certainly no riskier to consume than that of any developed country. Some travellers steer clear of unpasteurised dairy products due to a perceived risk of disease, while others laud the same products for their perceived health benefits. If you're at all unsure, it's probably best to stick to what you're used to."
https://www.worldtravelguide.net/guides/europe/liechtenstein/health/,The tap water in Liechenstein is safe to drink and of high quality.
https://www.worldtravelguide.net/guides/europe/croatia/health/,"Food is almost universally safe, and tap water is fine to drink."
https://www.worldtravelguide.net/guides/caribbean/guadeloupe/health/,"Mains water is chlorinated and whilst relatively safe, may cause mild abdominal upsets. Bottled water is available and is advised for the first few weeks of stay. Drinking water outside main cities and towns may be contaminated and sterilisation is advised. Milk is pasteurised and dairy products are safe for consumption. Local meat, poultry, seafoods and fruit are generally considered safe to eat."
https://www.worldtravelguide.net/guides/asia/maldives/health/,"It is not advised to drink tap water. The water provided in the resort areas is generally safe to drink. In other areas, water of uncertain origin used for drinking, brushing teeth or making ice should have first been boiled or otherwise sterilised. Food in hotels and resorts is usually risk-free, although visitors should be cautious elsewhere."
https://www.worldtravelguide.net/guides/south-america/chile/health/,"Standards of hygiene are generally reasonable in Chile, and should not cause visitors any undue concern. Tap water in the cities is fine to drink but it does have a high mineral content and may taste different to what you're used to. Bottled water is easily available should you prefer to stick to that. When it comes to eating out, use common sense – only eat food that has been freshly cooked and looks to have been prepared in hygienic conditions."
https://www.worldtravelguide.net/guides/asia/india/health/,"Water for drinking, brushing teeth or making ice should first be boiled or otherwise sterilised. Milk is often unpasteurised and should be boiled. Avoid dairy products likely to have been made from non-boiled milk. Only eat well-cooked meat and fish. Do not eat salads, vegetables should be cooked and peel your own fruit. Don’t eat street vendor food unless it is piping hot. Tap water is not safe to drink, rely on bottled water which is widely available. However, do check that the seal on bottled water is unbroken."
https://www.worldtravelguide.net/guides/north-america/costa-rica/health/,"Tap water is normally heavily chlorinated and, while relatively safe to drink, may cause mild abdominal upsets. Drinking water outside main cities and towns may be contaminated and sterilisation is advisable. Bottled water is available and is advised for the duration of the stay especially for those who are liable to sensitive stomachs. Milk is pasteurised and dairy products are safe for consumption. Local meat, poultry, seafood, fruit and vegetables are generally considered safe to eat."
https://www.worldtravelguide.net/guides/africa/seychelles/health/,"Tap water is chlorinated and safe to drink. But if you are concerned, bottled water is widely available. Milk is pasteurised, and dairy products are safe for consumption. Local meat, poultry, seafood, fruit and vegetables are generally considered safe to eat."
https://www.worldtravelguide.net/guides/europe/finland/health/,"Food in Finland is safe to eat and usually prepared in accordance with hygiene guidelines, although care should be taken when purchasing food from unlicensed stalls. Tap water is also safe, although drinking from streams, lakes and rivers – however clean they look – isn’t recommended as even the most inviting-looking water can harbour parasites."
https://www.worldtravelguide.net/guides/asia/singapore/health/,"Food hygiene is generally good, particularly now that most individual street stalls have been closed down in favour of hawker centres. As always it’s safer to avoid raw vegetables, shellfish and reheated foods, and to wash fruit which has not been peeled. The tap water is safe to drink. Hepatitis A infection is not unknown, although rare, and vaccination may be considered."
https://www.worldtravelguide.net/guides/africa/egypt/health/,"You should avoid uncooked vegetables and peeled fruit that may have been washed in tap water, and make sure any poultry or egg-based dishes, and any seafood or shellfish, is thoroughly cooked. Hotels and restaurants are generally safe to eat and drink in, but it is advisable to avoid street vendors."
https://www.worldtravelguide.net/guides/asia/japan/health/,"The possible contamination of food and water from the Fukushima area is being monitored, and strict controls are imposed by the Japanese authorities where necessary. Tap water in Tokyo was declared not safe for consumption after the Fukushima accident, although the government has since stated otherwise. Nevertheless, if travelling with children, it is advisable to take precautions. The Ministry of Health, Labour and Welfare website (www.mhlw.go.jp/english) has updates on contamination levels in tested food. In other parts of Japan, food and drink are generally considered safe."
https://www.worldtravelguide.net/guides/europe/united-kingdom/health/,"Food within the UK is generally safe to eat, with health and safety standards monitored by various government agencies. Tap water is considered safe to drink but bottled water is widely available. If you're camping, always boil, filter or purify water from streams."
https://www.worldtravelguide.net/guides/europe/denmark/health/,"There's nothing to mark out Danish food as particularly risky to general health, in fact food hygiene standards are very high across the country. The tap water is also safe to drink. However, visitors are recommended not to drink from streams or lakes."
https://www.worldtravelguide.net/guides/europe/switzerland/health/,"There’s nothing to mark out Switzerland produce as particularly risky to general health, in fact food hygiene standards are very high across the country. The tap water is also safe to drink. However, resist the temptation to drink from streams or lakes, no matter how clean they look, as they may contain pollutants."
https://www.worldtravelguide.net/guides/oceania/nauru/health/,"Tap water is safe to drink. Bottled water is available. Local meat, poultry, seafood, fruit and vegetables are generally considered safe to eat."
https://www.worldtravelguide.net/guides/europe/hungary/health/,"Food in Hungary is as safe to eat as anywhere in Western Europe, but places where cooked food is allowed to cool before reheating are usually best avoided. Tap water is safe to drink throughout the country. Milk is pasteurised and dairy products are safe for consumption. Local meat, poultry, seafood, fruit and vegetables are generally considered safe to eat."
https://www.worldtravelguide.net/guides/europe/portugal/health/,"You can drink tap water in major cities and towns, although you should be cautious in small villages. Thankfully, bottled water is widely available but if it’s not then any questionable water should be boiled for five minutes or treated with iodine. Salads and fruit are safe to eat anywhere in Portugal. Take care with shellfish such as cooked mussels that have not opened properly and avoid undercooked meat, particularly minced meat. Ice cream is fine, unless it has been melted and refrozen."
https://www.worldtravelguide.net/guides/middle-east/qatar/health/,"Tap water is safe to drink in Doha and other urban areas. In other areas, bottled water is a sensible precaution. In general, food hygiene standards are good and it's fine to eat from markets and street food stalls. Use common sense and only eat well-cooked meat and fish."
https://www.worldtravelguide.net/guides/europe/spain/health/,"Food in Spain is generally safe to eat. Most restaurants and bars adhere to a certain standard of hygiene. For those with sensitive stomachs, try to avoid street food, such as churros or pinchitos (kebab) which are usually sold in small street-side stores especially in big cities like Madrid and Barcelona. Other foods to look out for include seafood that might not be fresh and sandwiches and omelettes that might have been left out for too long. Tapas bars may sometimes serve foods that have been kept overnight, so be careful what you eat."
https://www.worldtravelguide.net/guides/north-america/united-states-of-america/california/health/,All restaurants in California are graded by the US health inspector with a letter rating system that must be hung in the front window. Any restaurant without an A or B rating is best avoided.
